Year,Units,Series,Type of area,Federal state,GeoCode,Value
2009,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,9.0
2010,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,8.0
2011,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,7.0
2012,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,7.0
2013,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,6.0
2014,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,6.0
2015,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,6.0
2019,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,5.0
2020,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,6.0
2021,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,5.0
2022,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,5.0
1996,Hectre per day,Moving four-year average,,Bavaria,code09,27.0
2000,Hectre per day,Moving four-year average,,Bavaria,code09,28.0
2004,Hectre per day,Moving four-year average,,Bavaria,code09,18.0
2005,Hectre per day,Moving four-year average,,Bavaria,code09,17.0
2006,Hectre per day,Moving four-year average,,Bavaria,code09,17.0
2007,Hectre per day,Moving four-year average,,Bavaria,code09,17.0
2008,Hectre per day,Moving four-year average,,Bavaria,code09,17.0
2009,Hectre per day,Moving four-year average,,Bavaria,code09,17.0
2010,Hectre per day,Moving four-year average,,Bavaria,code09,17.0
2011,Hectre per day,Moving four-year average,,Bavaria,code09,18.0
2012,Hectre per day,Moving four-year average,,Bavaria,code09,18.0
2013,Hectre per day,Moving four-year average,,Bavaria,code09,19.0
2015,Hectre per day,Moving four-year average,,Bavaria,code09,12.0
2018,Hectre per day,Moving four-year average,,Bavaria,code09,11.0
2019,Hectre per day,Moving four-year average,,Bavaria,code09,11.0
2020,Hectre per day,Moving four-year average,,Bavaria,code09,11.0
2021,Hectre per day,Moving four-year average,,Bavaria,code09,11.0
1996,Hectre per day,Moving four-year average,,Berlin,code11,-1.0
2000,Hectre per day,Moving four-year average,,Berlin,code11,1.0
2004,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2005,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2006,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2007,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2008,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2009,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2010,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2011,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2012,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2013,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2014,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2015,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2016,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2017,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2018,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2019,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2020,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2021,Hectre per day,Moving four-year average,,Berlin,code11,0.0
2022,Hectre per day,Moving four-year average,,Berlin,code11,0.0
1996,Hectre per day,Moving four-year average,,Brandenburg,code12,7.0
2000,Hectre per day,Moving four-year average,,Brandenburg,code12,9.0
2004,Hectre per day,Moving four-year average,,Brandenburg,code12,8.0
2005,Hectre per day,Moving four-year average,,Brandenburg,code12,9.0
2006,Hectre per day,Moving four-year average,,Brandenburg,code12,9.0
2007,Hectre per day,Moving four-year average,,Brandenburg,code12,8.0
2008,Hectre per day,Moving four-year average,,Brandenburg,code12,10.0
2009,Hectre per day,Moving four-year average,,Brandenburg,code12,8.0
2010,Hectre per day,Moving four-year average,,Brandenburg,code12,8.0
2011,Hectre per day,Moving four-year average,,Brandenburg,code12,7.0
2012,Hectre per day,Moving four-year average,,Brandenburg,code12,5.0
2013,Hectre per day,Moving four-year average,,Brandenburg,code12,6.0
2014,Hectre per day,Moving four-year average,,Brandenburg,code12,5.0
2015,Hectre per day,Moving four-year average,,Brandenburg,code12,5.0
2016,Hectre per day,Moving four-year average,,Brandenburg,code12,5.0
2017,Hectre per day,Moving four-year average,,Brandenburg,code12,2.0
2018,Hectre per day,Moving four-year average,,Brandenburg,code12,2.0
2019,Hectre per day,Moving four-year average,,Brandenburg,code12,1.0
2020,Hectre per day,Moving four-year average,,Brandenburg,code12,3.0
2021,Hectre per day,Moving four-year average,,Brandenburg,code12,4.0
2022,Hectre per day,Moving four-year average,,Brandenburg,code12,5.0
1996,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2000,Hectre per day,Moving four-year average,,Bremen,code04,1.0
2004,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2005,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2006,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2007,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2008,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2009,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2010,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2011,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2012,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2013,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2014,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2015,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2016,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2017,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2018,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2019,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2020,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2021,Hectre per day,Moving four-year average,,Bremen,code04,0.0
2022,Hectre per day,Moving four-year average,,Bremen,code04,0.0
1996,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2000,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2004,Hectre per day,Moving four-year average,,Hamburg,code02,1.0
2005,Hectre per day,Moving four-year average,,Hamburg,code02,1.0
2006,Hectre per day,Moving four-year average,,Hamburg,code02,1.0
2007,Hectre per day,Moving four-year average,,Hamburg,code02,1.0
2008,Hectre per day,Moving four-year average,,Hamburg,code02,1.0
2009,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2010,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2011,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2012,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2013,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2014,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2015,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2016,Hectre per day,Moving four-year average,,Hamburg,code02,-1.0
2017,Hectre per day,Moving four-year average,,Hamburg,code02,-1.0
2018,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2019,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2020,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2021,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
2022,Hectre per day,Moving four-year average,,Hamburg,code02,0.0
1996,Hectre per day,Moving four-year average,,Hesse,code06,5.0
2000,Hectre per day,Moving four-year average,,Hesse,code06,5.0
2004,Hectre per day,Moving four-year average,,Hesse,code06,4.0
2005,Hectre per day,Moving four-year average,,Hesse,code06,4.0
2006,Hectre per day,Moving four-year average,,Hesse,code06,4.0
2007,Hectre per day,Moving four-year average,,Hesse,code06,4.0
2008,Hectre per day,Moving four-year average,,Hesse,code06,4.0
2009,Hectre per day,Moving four-year average,,Hesse,code06,4.0
2010,Hectre per day,Moving four-year average,,Hesse,code06,4.0
2011,Hectre per day,Moving four-year average,,Hesse,code06,3.0
2012,Hectre per day,Moving four-year average,,Hesse,code06,3.0
2013,Hectre per day,Moving four-year average,,Hesse,code06,3.0
2014,Hectre per day,Moving four-year average,,Hesse,code06,3.0
2015,Hectre per day,Moving four-year average,,Hesse,code06,3.0
2021,Hectre per day,Moving four-year average,,Hesse,code06,2.0
1996,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,6.0
2000,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,8.0
2004,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,9.0
2005,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,9.0
2006,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,8.0
2007,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,7.0
2008,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,8.0
2009,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,8.0
2010,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,8.0
2011,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,7.0
2012,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,5.0
2013,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,4.0
2014,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,3.0
2015,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,3.0
2016,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,7.0
2017,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,4.0
2018,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,4.0
2019,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,3.0
2020,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,-2.0
2021,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,1.0
2022,Hectre per day,Moving four-year average,,Mecklenburg Western Pomerania,code13,1.0
1996,Hectre per day,Moving four-year average,,Lower Saxony,code03,16.0
2000,Hectre per day,Moving four-year average,,Lower Saxony,code03,16.0
2004,Hectre per day,Moving four-year average,,Lower Saxony,code03,14.0
2005,Hectre per day,Moving four-year average,,Lower Saxony,code03,14.0
2006,Hectre per day,Moving four-year average,,Lower Saxony,code03,14.0
2007,Hectre per day,Moving four-year average,,Lower Saxony,code03,14.0
2008,Hectre per day,Moving four-year average,,Lower Saxony,code03,12.0
2009,Hectre per day,Moving four-year average,,Lower Saxony,code03,10.0
2010,Hectre per day,Moving four-year average,,Lower Saxony,code03,9.0
2011,Hectre per day,Moving four-year average,,Lower Saxony,code03,11.0
2012,Hectre per day,Moving four-year average,,Lower Saxony,code03,10.0
2013,Hectre per day,Moving four-year average,,Lower Saxony,code03,11.0
2014,Hectre per day,Moving four-year average,,Lower Saxony,code03,11.0
2015,Hectre per day,Moving four-year average,,Lower Saxony,code03,10.0
2016,Hectre per day,Moving four-year average,,Lower Saxony,code03,8.0
2017,Hectre per day,Moving four-year average,,Lower Saxony,code03,7.0
2018,Hectre per day,Moving four-year average,,Lower Saxony,code03,6.0
2019,Hectre per day,Moving four-year average,,Lower Saxony,code03,5.0
2020,Hectre per day,Moving four-year average,,Lower Saxony,code03,7.0
2021,Hectre per day,Moving four-year average,,Lower Saxony,code03,6.0
2022,Hectre per day,Moving four-year average,,Lower Saxony,code03,6.0
1996,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,16.0
2000,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,17.0
2004,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,15.0
2005,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,15.0
2006,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,14.0
2007,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,15.0
2008,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,14.0
2009,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,13.0
2010,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,13.0
2011,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,11.0
2012,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,10.0
2013,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,10.0
2014,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,10.0
2015,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,10.0
2021,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,6.0
2022,Hectre per day,Moving four-year average,,North Rhine-Westphalia,code05,6.0
1996,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,5.0
2000,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,5.0
2004,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,6.0
2005,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,7.0
2006,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,7.0
2007,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,7.0
2008,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,5.0
2009,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,4.0
2010,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,2.0
2011,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,1.0
2012,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,1.0
2013,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,1.0
2014,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,1.0
2015,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,1.0
2016,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,1.0
2017,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,0.0
2018,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,1.0
2019,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,1.0
2020,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,2.0
2021,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,4.0
2022,Hectre per day,Moving four-year average,,Rhineland Palatinate,code07,6.0
1996,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2000,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2004,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2005,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2006,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2007,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2008,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2009,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2010,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2011,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2012,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2013,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2014,Hectre per day,Moving four-year average,,Saarland,code10,0.0
2015,Hectre per day,Moving four-year average,,Saarland,code10,0.0
2016,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2017,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2018,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2019,Hectre per day,Moving four-year average,,Saarland,code10,1.0
2020,Hectre per day,Moving four-year average,,Saarland,code10,0.0
2021,Hectre per day,Moving four-year average,,Saarland,code10,0.0
2022,Hectre per day,Moving four-year average,,Saarland,code10,1.0
1996,Hectre per day,Moving four-year average,,Saxony,code14,9.0
2000,Hectre per day,Moving four-year average,,Saxony,code14,8.0
2004,Hectre per day,Moving four-year average,,Saxony,code14,5.0
2005,Hectre per day,Moving four-year average,,Saxony,code14,4.0
2006,Hectre per day,Moving four-year average,,Saxony,code14,4.0
2007,Hectre per day,Moving four-year average,,Saxony,code14,5.0
2008,Hectre per day,Moving four-year average,,Saxony,code14,6.0
2009,Hectre per day,Moving four-year average,,Saxony,code14,8.0
2010,Hectre per day,Moving four-year average,,Saxony,code14,9.0
2011,Hectre per day,Moving four-year average,,Saxony,code14,8.0
2012,Hectre per day,Moving four-year average,,Saxony,code14,7.0
2013,Hectre per day,Moving four-year average,,Saxony,code14,5.0
2020,Hectre per day,Moving four-year average,,Saxony,code14,5.0
2021,Hectre per day,Moving four-year average,,Saxony,code14,5.0
2022,Hectre per day,Moving four-year average,,Saxony,code14,5.0
1996,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,9.0
2000,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,10.0
2004,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,13.0
2005,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,16.0
2006,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,18.0
2007,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,16.0
2008,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,10.0
2009,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,4.0
2010,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,1.0
2011,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,0.0
2012,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,-1.0
2013,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,-1.0
2014,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,0.0
2015,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,1.0
2016,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,1.0
2017,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,1.0
2018,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,1.0
2019,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,1.0
2020,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,1.0
2021,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,1.0
2022,Hectre per day,Moving four-year average,,Saxony-Anhalt,code15,1.0
1996,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,3.0
2000,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,4.0
2004,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,8.0
2008,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,5.0
2009,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,5.0
2010,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,4.0
2011,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,4.0
2012,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,3.0
2013,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,3.0
2014,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,3.0
2015,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,3.0
2016,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,2.0
2017,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,3.0
2018,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,3.0
2019,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,2.0
2020,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,4.0
2021,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,4.0
2022,Hectre per day,Moving four-year average,,Schleswig-Holstein,code01,4.0
1996,Hectre per day,Moving four-year average,,Thuringia,code16,6.0
2000,Hectre per day,Moving four-year average,,Thuringia,code16,4.0
2004,Hectre per day,Moving four-year average,,Thuringia,code16,2.0
2005,Hectre per day,Moving four-year average,,Thuringia,code16,2.0
2006,Hectre per day,Moving four-year average,,Thuringia,code16,1.0
2007,Hectre per day,Moving four-year average,,Thuringia,code16,2.0
2008,Hectre per day,Moving four-year average,,Thuringia,code16,2.0
2009,Hectre per day,Moving four-year average,,Thuringia,code16,2.0
2010,Hectre per day,Moving four-year average,,Thuringia,code16,3.0
2011,Hectre per day,Moving four-year average,,Thuringia,code16,4.0
2012,Hectre per day,Moving four-year average,,Thuringia,code16,4.0
2013,Hectre per day,Moving four-year average,,Thuringia,code16,4.0
2014,Hectre per day,Moving four-year average,,Thuringia,code16,5.0
2015,Hectre per day,Moving four-year average,,Thuringia,code16,5.0
2016,Hectre per day,Moving four-year average,,Thuringia,code16,6.0
2022,Hectre per day,Moving four-year average,,Thuringia,code16,1.0
1996,Hectre per day,Calculated annual values,,,,120.0
1997,Hectre per day,Calculated annual values,,,,124.0
1998,Hectre per day,Calculated annual values,,,,131.0
1999,Hectre per day,Calculated annual values,,,,131.0
2000,Hectre per day,Calculated annual values,,,,132.0
2001,Hectre per day,Calculated annual values,,,,122.0
2002,Hectre per day,Calculated annual values,,,,109.0
2003,Hectre per day,Calculated annual values,,,,99.0
