Year,Units,criminal offences,federal state,GeoCode,Value
1994,"per 100,000 inhabitants",,brandenburg,code12,12974.273
1995,"per 100,000 inhabitants",,brandenburg,code12,12097.324
1996,"per 100,000 inhabitants",,brandenburg,code12,11742.386
1997,"per 100,000 inhabitants",,brandenburg,code12,11311.745
1998,"per 100,000 inhabitants",,brandenburg,code12,10871.576
1999,"per 100,000 inhabitants",,brandenburg,code12,9785.906
2000,"per 100,000 inhabitants",,brandenburg,code12,9925.197
2001,"per 100,000 inhabitants",,brandenburg,code12,9556.005
2002,"per 100,000 inhabitants",,brandenburg,code12,9511.249
2003,"per 100,000 inhabitants",,brandenburg,code12,9613.121
2004,"per 100,000 inhabitants",,brandenburg,code12,9406.883
2005,"per 100,000 inhabitants",,brandenburg,code12,8974.969
2006,"per 100,000 inhabitants",,brandenburg,code12,8816.103
2007,"per 100,000 inhabitants",,brandenburg,code12,9010.441
2008,"per 100,000 inhabitants",,brandenburg,code12,8364.957
2009,"per 100,000 inhabitants",,brandenburg,code12,8069.819
2010,"per 100,000 inhabitants",,brandenburg,code12,8267.145
2011,"per 100,000 inhabitants",,brandenburg,code12,8031.067
2012,"per 100,000 inhabitants",,brandenburg,code12,7954.818
2013,"per 100,000 inhabitants",,brandenburg,code12,8051.7
2014,"per 100,000 inhabitants",,brandenburg,code12,8004.0
2015,"per 100,000 inhabitants",,brandenburg,code12,7659.634
2016,"per 100,000 inhabitants",,brandenburg,code12,7478.632
2017,"per 100,000 inhabitants",,brandenburg,code12,7015.138
2018,"per 100,000 inhabitants",,brandenburg,code12,6901.966
2019,"per 100,000 inhabitants",,brandenburg,code12,6840.513
2020,"per 100,000 inhabitants",,brandenburg,code12,6461.059
2021,"per 100,000 inhabitants",,brandenburg,code12,6280.503
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,bremen,code04,16134.251
1994,"per 100,000 inhabitants",,bremen,code04,14849.41
1995,"per 100,000 inhabitants",,bremen,code04,14854.991
1996,"per 100,000 inhabitants",,bremen,code04,14962.599
1997,"per 100,000 inhabitants",,bremen,code04,14446.51
1998,"per 100,000 inhabitants",,bremen,code04,13342.777
1999,"per 100,000 inhabitants",,bremen,code04,13048.891
2000,"per 100,000 inhabitants",,bremen,code04,14084.637
2001,"per 100,000 inhabitants",,bremen,code04,14218.731
2002,"per 100,000 inhabitants",,bremen,code04,14555.812
2003,"per 100,000 inhabitants",,bremen,code04,14482.432
2004,"per 100,000 inhabitants",,bremen,code04,15417.977
2005,"per 100,000 inhabitants",,bremen,code04,14716.057
2006,"per 100,000 inhabitants",,bremen,code04,14546.313
2007,"per 100,000 inhabitants",,bremen,code04,14638.489
2008,"per 100,000 inhabitants",,bremen,code04,14452.295
2009,"per 100,000 inhabitants",,bremen,code04,14238.874
2010,"per 100,000 inhabitants",,bremen,code04,13643.624
2011,"per 100,000 inhabitants",,bremen,code04,14276.548
2012,"per 100,000 inhabitants",,bremen,code04,13311.315
2013,"per 100,000 inhabitants",,bremen,code04,13059.2
2014,"per 100,000 inhabitants",,bremen,code04,12743.9
2015,"per 100,000 inhabitants",,bremen,code04,13784.356
2016,"per 100,000 inhabitants",,bremen,code04,13686.598
2017,"per 100,000 inhabitants",,bremen,code04,11959.579
2018,"per 100,000 inhabitants",,bremen,code04,10942.804
2019,"per 100,000 inhabitants",,bremen,code04,11453.822
2020,"per 100,000 inhabitants",,bremen,code04,11871.515
2021,"per 100,000 inhabitants",,bremen,code04,11169.335
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,hamburg,code02,16919.817
1994,"per 100,000 inhabitants",,hamburg,code02,15401.776
1995,"per 100,000 inhabitants",,hamburg,code02,16734.975
1996,"per 100,000 inhabitants",,hamburg,code02,16124.469
1997,"per 100,000 inhabitants",,hamburg,code02,17664.472
1998,"per 100,000 inhabitants",,hamburg,code02,16923.745
1999,"per 100,000 inhabitants",,hamburg,code02,16854.017
2000,"per 100,000 inhabitants",,hamburg,code02,17030.485
2001,"per 100,000 inhabitants",,hamburg,code02,19007.281
2002,"per 100,000 inhabitants",,hamburg,code02,15992.52
2003,"per 100,000 inhabitants",,hamburg,code02,16143.506
2004,"per 100,000 inhabitants",,hamburg,code02,15529.472
2005,"per 100,000 inhabitants",,hamburg,code02,14582.808
2006,"per 100,000 inhabitants",,hamburg,code02,14051.123
2007,"per 100,000 inhabitants",,hamburg,code02,14026.725
2008,"per 100,000 inhabitants",,hamburg,code02,13887.925
2009,"per 100,000 inhabitants",,hamburg,code02,13932.422
2010,"per 100,000 inhabitants",,hamburg,code02,13239.878
2011,"per 100,000 inhabitants",,hamburg,code02,13418.186
2012,"per 100,000 inhabitants",,hamburg,code02,13244.775
2013,"per 100,000 inhabitants",,hamburg,code02,13724.4
2014,"per 100,000 inhabitants",,hamburg,code02,13742.9
2015,"per 100,000 inhabitants",,hamburg,code02,13839.36
2016,"per 100,000 inhabitants",,hamburg,code02,13384.185
2017,"per 100,000 inhabitants",,hamburg,code02,12480.24
2018,"per 100,000 inhabitants",,hamburg,code02,11941.217
2019,"per 100,000 inhabitants",,hamburg,code02,11450.924
2020,"per 100,000 inhabitants",,hamburg,code02,11017.765
2021,"per 100,000 inhabitants",,hamburg,code02,10062.36
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,hesse,code06,8362.552
1994,"per 100,000 inhabitants",,hesse,code06,7940.082
1995,"per 100,000 inhabitants",,hesse,code06,7776.079
1996,"per 100,000 inhabitants",,hesse,code06,7710.327
1997,"per 100,000 inhabitants",,hesse,code06,7627.771
1998,"per 100,000 inhabitants",,hesse,code06,7452.443
1999,"per 100,000 inhabitants",,hesse,code06,7135.841
2000,"per 100,000 inhabitants",,hesse,code06,6987.653
2001,"per 100,000 inhabitants",,hesse,code06,6800.932
2002,"per 100,000 inhabitants",,hesse,code06,7104.5
2003,"per 100,000 inhabitants",,hesse,code06,7535.005
2004,"per 100,000 inhabitants",,hesse,code06,7670.757
2005,"per 100,000 inhabitants",,hesse,code06,7329.074
2006,"per 100,000 inhabitants",,hesse,code06,7098.918
2007,"per 100,000 inhabitants",,hesse,code06,7015.997
2008,"per 100,000 inhabitants",,hesse,code06,6801.635
2009,"per 100,000 inhabitants",,hesse,code06,6810.08
2010,"per 100,000 inhabitants",,hesse,code06,6732.368
2011,"per 100,000 inhabitants",,hesse,code06,6647.795
2012,"per 100,000 inhabitants",,hesse,code06,6600.619
2013,"per 100,000 inhabitants",,hesse,code06,6428.6
2014,"per 100,000 inhabitants",,hesse,code06,6565.8
2015,"per 100,000 inhabitants",,hesse,code06,6616.269
2016,"per 100,000 inhabitants",,hesse,code06,6672.483
2017,"per 100,000 inhabitants",,hesse,code06,6045.818
2018,"per 100,000 inhabitants",,hesse,code06,5971.205
2019,"per 100,000 inhabitants",,hesse,code06,5822.6
2020,"per 100,000 inhabitants",,hesse,code06,5445.589
2021,"per 100,000 inhabitants",,hesse,code06,5339.612
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,13811.726
1994,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,11897.681
1995,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,12060.317
1996,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,11705.199
1997,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,11665.702
1998,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,11310.987
1999,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,10500.326
2000,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,10267.223
2001,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,10447.111
2002,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,10000.917
2003,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,10863.475
2004,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,10412.37
2005,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,9402.295
2006,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,9029.235
2007,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,9016.077
2008,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,8880.811
2009,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,8424.916
2010,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,7968.343
2011,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,7953.113
2012,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,7883.321
2013,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,7528.7
2014,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,7304.0
2015,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,7332.763
2016,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,7632.343
2017,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,6850.362
2018,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,6744.691
2019,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,6916.241
2020,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,6587.246
2021,"per 100,000 inhabitants",,mecklenburg western pomerania,code13,6484.584
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,lower saxony,code03,8597.417
1994,"per 100,000 inhabitants",,lower saxony,code03,7710.205
1995,"per 100,000 inhabitants",,lower saxony,code03,7787.852
1996,"per 100,000 inhabitants",,lower saxony,code03,7516.195
1997,"per 100,000 inhabitants",,lower saxony,code03,7424.117
1998,"per 100,000 inhabitants",,lower saxony,code03,7286.226
1999,"per 100,000 inhabitants",,lower saxony,code03,7017.633
2000,"per 100,000 inhabitants",,lower saxony,code03,7205.937
2001,"per 100,000 inhabitants",,lower saxony,code03,7218.97
2002,"per 100,000 inhabitants",,lower saxony,code03,7726.731
2003,"per 100,000 inhabitants",,lower saxony,code03,7522.88
2004,"per 100,000 inhabitants",,lower saxony,code03,7437.14
2005,"per 100,000 inhabitants",,lower saxony,code03,7618.01
2006,"per 100,000 inhabitants",,lower saxony,code03,7656.801
2007,"per 100,000 inhabitants",,lower saxony,code03,7717.431
2008,"per 100,000 inhabitants",,lower saxony,code03,7516.174
2009,"per 100,000 inhabitants",,lower saxony,code03,7549.167
2010,"per 100,000 inhabitants",,lower saxony,code03,7473.27
2011,"per 100,000 inhabitants",,lower saxony,code03,7099.489
2012,"per 100,000 inhabitants",,lower saxony,code03,7167.492
2013,"per 100,000 inhabitants",,lower saxony,code03,7015.1
2014,"per 100,000 inhabitants",,lower saxony,code03,7094.9
2015,"per 100,000 inhabitants",,lower saxony,code03,7263.178
2016,"per 100,000 inhabitants",,lower saxony,code03,7089.585
2017,"per 100,000 inhabitants",,lower saxony,code03,6621.456
2018,"per 100,000 inhabitants",,lower saxony,code03,6361.915
2019,"per 100,000 inhabitants",,lower saxony,code03,6346.199
2020,"per 100,000 inhabitants",,lower saxony,code03,6219.444
2021,"per 100,000 inhabitants",,lower saxony,code03,5898.678
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,north rhine-westphalia,code05,7806.263
1994,"per 100,000 inhabitants",,north rhine-westphalia,code05,7517.726
1995,"per 100,000 inhabitants",,north rhine-westphalia,code05,7680.641
1996,"per 100,000 inhabitants",,north rhine-westphalia,code05,7761.981
1997,"per 100,000 inhabitants",,north rhine-westphalia,code05,7578.958
1998,"per 100,000 inhabitants",,north rhine-westphalia,code05,7455.517
1999,"per 100,000 inhabitants",,north rhine-westphalia,code05,7460.722
2000,"per 100,000 inhabitants",,north rhine-westphalia,code05,7435.425
2001,"per 100,000 inhabitants",,north rhine-westphalia,code05,7708.684
2002,"per 100,000 inhabitants",,north rhine-westphalia,code05,8176.293
2003,"per 100,000 inhabitants",,north rhine-westphalia,code05,8372.738
2004,"per 100,000 inhabitants",,north rhine-westphalia,code05,8566.303
2005,"per 100,000 inhabitants",,north rhine-westphalia,code05,8417.374
2006,"per 100,000 inhabitants",,north rhine-westphalia,code05,8367.345
2007,"per 100,000 inhabitants",,north rhine-westphalia,code05,8406.891
2008,"per 100,000 inhabitants",,north rhine-westphalia,code05,8193.064
2009,"per 100,000 inhabitants",,north rhine-westphalia,code05,8257.257
2010,"per 100,000 inhabitants",,north rhine-westphalia,code05,8203.493
2011,"per 100,000 inhabitants",,north rhine-westphalia,code05,8614.719
2012,"per 100,000 inhabitants",,north rhine-westphalia,code05,8654.171
2013,"per 100,000 inhabitants",,north rhine-westphalia,code05,8459.1
2014,"per 100,000 inhabitants",,north rhine-westphalia,code05,8542.8
2015,"per 100,000 inhabitants",,north rhine-westphalia,code05,8603.241
2016,"per 100,000 inhabitants",,north rhine-westphalia,code05,8224.929
2017,"per 100,000 inhabitants",,north rhine-westphalia,code05,7676.816
2018,"per 100,000 inhabitants",,north rhine-westphalia,code05,7159.622
2019,"per 100,000 inhabitants",,north rhine-westphalia,code05,6847.448
2020,"per 100,000 inhabitants",,north rhine-westphalia,code05,6774.102
2021,"per 100,000 inhabitants",,north rhine-westphalia,code05,6702.56
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,rhineland palatinate,code07,6087.154
1994,"per 100,000 inhabitants",,rhineland palatinate,code07,6241.908
1995,"per 100,000 inhabitants",,rhineland palatinate,code07,6331.018
1996,"per 100,000 inhabitants",,rhineland palatinate,code07,6515.486
1997,"per 100,000 inhabitants",,rhineland palatinate,code07,6666.915
1998,"per 100,000 inhabitants",,rhineland palatinate,code07,6545.293
1999,"per 100,000 inhabitants",,rhineland palatinate,code07,6651.262
2000,"per 100,000 inhabitants",,rhineland palatinate,code07,6711.046
2001,"per 100,000 inhabitants",,rhineland palatinate,code07,6509.26
2002,"per 100,000 inhabitants",,rhineland palatinate,code07,6944.264
2003,"per 100,000 inhabitants",,rhineland palatinate,code07,7101.824
2004,"per 100,000 inhabitants",,rhineland palatinate,code07,7416.831
2005,"per 100,000 inhabitants",,rhineland palatinate,code07,7344.912
2006,"per 100,000 inhabitants",,rhineland palatinate,code07,7375.449
2007,"per 100,000 inhabitants",,rhineland palatinate,code07,7129.584
2008,"per 100,000 inhabitants",,rhineland palatinate,code07,7274.451
2009,"per 100,000 inhabitants",,rhineland palatinate,code07,7044.378
2010,"per 100,000 inhabitants",,rhineland palatinate,code07,6989.426
2011,"per 100,000 inhabitants",,rhineland palatinate,code07,6877.573
2012,"per 100,000 inhabitants",,rhineland palatinate,code07,6703.478
2013,"per 100,000 inhabitants",,rhineland palatinate,code07,6702.3
2014,"per 100,000 inhabitants",,rhineland palatinate,code07,6623.2
2015,"per 100,000 inhabitants",,rhineland palatinate,code07,6817.535
2016,"per 100,000 inhabitants",,rhineland palatinate,code07,6775.385
2017,"per 100,000 inhabitants",,rhineland palatinate,code07,6190.598
2018,"per 100,000 inhabitants",,rhineland palatinate,code07,6001.16
2019,"per 100,000 inhabitants",,rhineland palatinate,code07,5912.808
2020,"per 100,000 inhabitants",,rhineland palatinate,code07,5625.536
2021,"per 100,000 inhabitants",,rhineland palatinate,code07,5302.203
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,saarland,code10,6278.272
1994,"per 100,000 inhabitants",,saarland,code10,5852.276
1995,"per 100,000 inhabitants",,saarland,code10,5983.061
1996,"per 100,000 inhabitants",,saarland,code10,6315.61
1997,"per 100,000 inhabitants",,saarland,code10,6273.252
1998,"per 100,000 inhabitants",,saarland,code10,6055.088
1999,"per 100,000 inhabitants",,saarland,code10,5823.678
2000,"per 100,000 inhabitants",,saarland,code10,6042.876
2001,"per 100,000 inhabitants",,saarland,code10,5719.677
2002,"per 100,000 inhabitants",,saarland,code10,6865.81
2003,"per 100,000 inhabitants",,saarland,code10,7075.431
2004,"per 100,000 inhabitants",,saarland,code10,7384.278
2005,"per 100,000 inhabitants",,saarland,code10,7384.378
2006,"per 100,000 inhabitants",,saarland,code10,7629.258
2007,"per 100,000 inhabitants",,saarland,code10,7162.618
2008,"per 100,000 inhabitants",,saarland,code10,7638.729
2009,"per 100,000 inhabitants",,saarland,code10,7335.319
2010,"per 100,000 inhabitants",,saarland,code10,7133.975
2011,"per 100,000 inhabitants",,saarland,code10,6913.809
2012,"per 100,000 inhabitants",,saarland,code10,7302.865
2013,"per 100,000 inhabitants",,saarland,code10,7295.7
2014,"per 100,000 inhabitants",,saarland,code10,7641.5
2015,"per 100,000 inhabitants",,saarland,code10,7885.767
2016,"per 100,000 inhabitants",,saarland,code10,7732.145
2017,"per 100,000 inhabitants",,saarland,code10,7109.811
2018,"per 100,000 inhabitants",,saarland,code10,7128.739
2019,"per 100,000 inhabitants",,saarland,code10,7543.495
2020,"per 100,000 inhabitants",,saarland,code10,6930.885
2021,"per 100,000 inhabitants",,saarland,code10,5960.522
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,saxony,code14,7652.857
1994,"per 100,000 inhabitants",,saxony,code14,8402.371
1995,"per 100,000 inhabitants",,saxony,code14,8831.66
1996,"per 100,000 inhabitants",,saxony,code14,8619.387
1997,"per 100,000 inhabitants",,saxony,code14,8086.722
1998,"per 100,000 inhabitants",,saxony,code14,8157.421
1999,"per 100,000 inhabitants",,saxony,code14,8254.225
2000,"per 100,000 inhabitants",,saxony,code14,7883.492
2001,"per 100,000 inhabitants",,saxony,code14,8029.526
2002,"per 100,000 inhabitants",,saxony,code14,7761.987
2003,"per 100,000 inhabitants",,saxony,code14,8210.91
2004,"per 100,000 inhabitants",,saxony,code14,7871.042
2005,"per 100,000 inhabitants",,saxony,code14,7510.035
2006,"per 100,000 inhabitants",,saxony,code14,7311.846
2007,"per 100,000 inhabitants",,saxony,code14,7366.852
2008,"per 100,000 inhabitants",,saxony,code14,7129.874
2009,"per 100,000 inhabitants",,saxony,code14,6787.29
2010,"per 100,000 inhabitants",,saxony,code14,7107.245
2011,"per 100,000 inhabitants",,saxony,code14,7227.656
2012,"per 100,000 inhabitants",,saxony,code14,7705.771
2013,"per 100,000 inhabitants",,saxony,code14,7715.7
2014,"per 100,000 inhabitants",,saxony,code14,8086.1
2015,"per 100,000 inhabitants",,saxony,code14,7764.235
2016,"per 100,000 inhabitants",,saxony,code14,7949.764
2017,"per 100,000 inhabitants",,saxony,code14,7916.54
2018,"per 100,000 inhabitants",,saxony,code14,6831.045
2019,"per 100,000 inhabitants",,saxony,code14,6665.037
2020,"per 100,000 inhabitants",,saxony,code14,6694.252
2021,"per 100,000 inhabitants",,saxony,code14,6078.841
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,saxony-anhalt,code15,10814.783
1994,"per 100,000 inhabitants",,saxony-anhalt,code15,10867.948
1995,"per 100,000 inhabitants",,saxony-anhalt,code15,11616.502
1996,"per 100,000 inhabitants",,saxony-anhalt,code15,11192.657
1997,"per 100,000 inhabitants",,saxony-anhalt,code15,10846.8
1998,"per 100,000 inhabitants",,saxony-anhalt,code15,10622.56
1999,"per 100,000 inhabitants",,saxony-anhalt,code15,9950.458
2000,"per 100,000 inhabitants",,saxony-anhalt,code15,9387.269
2001,"per 100,000 inhabitants",,saxony-anhalt,code15,9090.811
2002,"per 100,000 inhabitants",,saxony-anhalt,code15,9234.362
2003,"per 100,000 inhabitants",,saxony-anhalt,code15,9074.731
2004,"per 100,000 inhabitants",,saxony-anhalt,code15,9153.639
2005,"per 100,000 inhabitants",,saxony-anhalt,code15,8761.717
2006,"per 100,000 inhabitants",,saxony-anhalt,code15,8838.34
2007,"per 100,000 inhabitants",,saxony-anhalt,code15,8987.344
2008,"per 100,000 inhabitants",,saxony-anhalt,code15,8683.108
2009,"per 100,000 inhabitants",,saxony-anhalt,code15,8549.909
2010,"per 100,000 inhabitants",,saxony-anhalt,code15,8152.566
2011,"per 100,000 inhabitants",,saxony-anhalt,code15,8151.917
2012,"per 100,000 inhabitants",,saxony-anhalt,code15,8311.636
2013,"per 100,000 inhabitants",,saxony-anhalt,code15,8581.1
2014,"per 100,000 inhabitants",,saxony-anhalt,code15,8664.7
2015,"per 100,000 inhabitants",,saxony-anhalt,code15,8893.077
2016,"per 100,000 inhabitants",,saxony-anhalt,code15,8749.349
2017,"per 100,000 inhabitants",,saxony-anhalt,code15,8342.173
2018,"per 100,000 inhabitants",,saxony-anhalt,code15,7900.072
2019,"per 100,000 inhabitants",,saxony-anhalt,code15,7849.719
2020,"per 100,000 inhabitants",,saxony-anhalt,code15,8105.771
2021,"per 100,000 inhabitants",,saxony-anhalt,code15,7816.997
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,schleswig-holstein,code01,10172.416
1994,"per 100,000 inhabitants",,schleswig-holstein,code01,9732.496
1995,"per 100,000 inhabitants",,schleswig-holstein,code01,10232.419
