Year,Units,time series,area,COMMENT_OBS_0,sex,COMMENT_OBS_1,länder,GeoCode,Value
2022,percentage,b) severe material and social deprivation,germany,,,,,,6.2
2023,percentage,b) severe material and social deprivation,germany,,,,,,6.9
2024,percentage,b) severe material and social deprivation,germany,,,,,,6.2
2014,percentage,b) severe material and social deprivation,germany,.,female,,,,
2015,percentage,b) severe material and social deprivation,germany,,female,,,,6.3
2016,percentage,b) severe material and social deprivation,germany,,female,,,,5.1
2017,percentage,b) severe material and social deprivation,germany,,female,,,,4.0
2018,percentage,b) severe material and social deprivation,germany,,female,,,,3.6
2019,percentage,b) severe material and social deprivation,germany,,female,,,,3.3
2020,percentage,b) severe material and social deprivation,germany,|,female,,,,4.4
2021,percentage,b) severe material and social deprivation,germany,,female,,,,4.3
2022,percentage,b) severe material and social deprivation,germany,,female,,,,6.1
2023,percentage,b) severe material and social deprivation,germany,,female,,,,6.8
2024,percentage,b) severe material and social deprivation,germany,,female,,,,6.1
2014,percentage,b) severe material and social deprivation,germany,.,male,,,,
2015,percentage,b) severe material and social deprivation,germany,,male,,,,5.0
2016,percentage,b) severe material and social deprivation,germany,,male,,,,4.3
2017,percentage,b) severe material and social deprivation,germany,,male,,,,3.5
2018,percentage,b) severe material and social deprivation,germany,,male,,,,3.2
2019,percentage,b) severe material and social deprivation,germany,,male,,,,2.6
2020,percentage,b) severe material and social deprivation,germany,|,male,,,,4.3
2021,percentage,b) severe material and social deprivation,germany,,male,,,,4.4
2022,percentage,b) severe material and social deprivation,germany,,male,,,,6.3
2023,percentage,b) severe material and social deprivation,germany,,male,,,,7.0
2024,percentage,b) severe material and social deprivation,germany,,male,,,,6.3
2014,percentage,b) severe material and social deprivation,germany,.,,,baden-wuerttemberg,code08,
2015,percentage,b) severe material and social deprivation,germany,.,,,baden-wuerttemberg,code08,
2016,percentage,b) severe material and social deprivation,germany,.,,,baden-wuerttemberg,code08,
2017,percentage,b) severe material and social deprivation,germany,.,,,baden-wuerttemberg,code08,
2018,percentage,b) severe material and social deprivation,germany,.,,,baden-wuerttemberg,code08,
2019,percentage,b) severe material and social deprivation,germany,.,,,baden-wuerttemberg,code08,
2020,percentage,b) severe material and social deprivation,germany,.,,,baden-wuerttemberg,code08,
2021,percentage,b) severe material and social deprivation,germany,,,,baden-wuerttemberg,code08,3.4
2022,percentage,b) severe material and social deprivation,germany,,,,baden-wuerttemberg,code08,5.2
2023,percentage,b) severe material and social deprivation,germany,,,,baden-wuerttemberg,code08,6.1
2024,percentage,b) severe material and social deprivation,germany,,,,baden-wuerttemberg,code08,6.8
2014,percentage,b) severe material and social deprivation,germany,.,,,bavaria,code09,
2015,percentage,b) severe material and social deprivation,germany,.,,,bavaria,code09,
2016,percentage,b) severe material and social deprivation,germany,.,,,bavaria,code09,
2017,percentage,b) severe material and social deprivation,germany,.,,,bavaria,code09,
2018,percentage,b) severe material and social deprivation,germany,.,,,bavaria,code09,
2019,percentage,b) severe material and social deprivation,germany,.,,,bavaria,code09,
2020,percentage,b) severe material and social deprivation,germany,.,,,bavaria,code09,
2021,percentage,b) severe material and social deprivation,germany,,,,bavaria,code09,3.1
2022,percentage,b) severe material and social deprivation,germany,,,,bavaria,code09,4.1
2023,percentage,b) severe material and social deprivation,germany,,,,bavaria,code09,4.5
2024,percentage,b) severe material and social deprivation,germany,,,,bavaria,code09,3.4
2014,percentage,b) severe material and social deprivation,germany,.,,,berlin,code11,
2015,percentage,b) severe material and social deprivation,germany,.,,,berlin,code11,
2016,percentage,b) severe material and social deprivation,germany,.,,,berlin,code11,
2017,percentage,b) severe material and social deprivation,germany,.,,,berlin,code11,
2018,percentage,b) severe material and social deprivation,germany,.,,,berlin,code11,
2019,percentage,b) severe material and social deprivation,germany,.,,,berlin,code11,
2020,percentage,b) severe material and social deprivation,germany,.,,,berlin,code11,
2021,percentage,b) severe material and social deprivation,germany,,,,berlin,code11,3.4
2022,percentage,b) severe material and social deprivation,germany,,,,berlin,code11,5.1
2023,percentage,b) severe material and social deprivation,germany,,,,berlin,code11,5.7
2024,percentage,b) severe material and social deprivation,germany,,,,berlin,code11,4.0
2014,percentage,b) severe material and social deprivation,germany,.,,,brandenburg,code12,
2015,percentage,b) severe material and social deprivation,germany,.,,,brandenburg,code12,
2016,percentage,b) severe material and social deprivation,germany,.,,,brandenburg,code12,
2017,percentage,b) severe material and social deprivation,germany,.,,,brandenburg,code12,
2018,percentage,b) severe material and social deprivation,germany,.,,,brandenburg,code12,
2019,percentage,b) severe material and social deprivation,germany,.,,,brandenburg,code12,
2020,percentage,b) severe material and social deprivation,germany,.,,,brandenburg,code12,
2021,percentage,b) severe material and social deprivation,germany,,,,brandenburg,code12,2.3
2022,percentage,b) severe material and social deprivation,germany,,,,brandenburg,code12,4.5
2023,percentage,b) severe material and social deprivation,germany,,,,brandenburg,code12,6.3
2024,percentage,b) severe material and social deprivation,germany,,,,brandenburg,code12,5.0
2014,percentage,b) severe material and social deprivation,germany,.,,,bremen,code04,
2015,percentage,b) severe material and social deprivation,germany,.,,,bremen,code04,
2016,percentage,b) severe material and social deprivation,germany,.,,,bremen,code04,
2017,percentage,b) severe material and social deprivation,germany,.,,,bremen,code04,
2018,percentage,b) severe material and social deprivation,germany,.,,,bremen,code04,
2019,percentage,b) severe material and social deprivation,germany,.,,,bremen,code04,
2020,percentage,b) severe material and social deprivation,germany,.,,,bremen,code04,
2021,percentage,b) severe material and social deprivation,germany,,,,bremen,code04,9.0
2022,percentage,b) severe material and social deprivation,germany,,,,bremen,code04,10.4
2023,percentage,b) severe material and social deprivation,germany,,,,bremen,code04,14.0
2024,percentage,b) severe material and social deprivation,germany,,,,bremen,code04,10.1
2014,percentage,b) severe material and social deprivation,germany,.,,,hamburg,code02,
2015,percentage,b) severe material and social deprivation,germany,.,,,hamburg,code02,
2016,percentage,b) severe material and social deprivation,germany,.,,,hamburg,code02,
2017,percentage,b) severe material and social deprivation,germany,.,,,hamburg,code02,
2018,percentage,b) severe material and social deprivation,germany,.,,,hamburg,code02,
2019,percentage,b) severe material and social deprivation,germany,.,,,hamburg,code02,
2020,percentage,b) severe material and social deprivation,germany,.,,,hamburg,code02,
2021,percentage,b) severe material and social deprivation,germany,,,,hamburg,code02,5.3
2022,percentage,b) severe material and social deprivation,germany,,,,hamburg,code02,7.4
2023,percentage,b) severe material and social deprivation,germany,,,,hamburg,code02,6.7
2024,percentage,b) severe material and social deprivation,germany,,,,hamburg,code02,6.4
2014,percentage,b) severe material and social deprivation,germany,.,,,hesse,code06,
2015,percentage,b) severe material and social deprivation,germany,.,,,hesse,code06,
2016,percentage,b) severe material and social deprivation,germany,.,,,hesse,code06,
2017,percentage,b) severe material and social deprivation,germany,.,,,hesse,code06,
2018,percentage,b) severe material and social deprivation,germany,.,,,hesse,code06,
2019,percentage,b) severe material and social deprivation,germany,.,,,hesse,code06,
2020,percentage,b) severe material and social deprivation,germany,.,,,hesse,code06,
2021,percentage,b) severe material and social deprivation,germany,,,,hesse,code06,6.0
2022,percentage,b) severe material and social deprivation,germany,,,,hesse,code06,7.8
2023,percentage,b) severe material and social deprivation,germany,,,,hesse,code06,7.4
2024,percentage,b) severe material and social deprivation,germany,,,,hesse,code06,7.0
2014,percentage,b) severe material and social deprivation,germany,.,,,mecklenburg western pomerania,code13,
2015,percentage,b) severe material and social deprivation,germany,.,,,mecklenburg western pomerania,code13,
2016,percentage,b) severe material and social deprivation,germany,.,,,mecklenburg western pomerania,code13,
2017,percentage,b) severe material and social deprivation,germany,.,,,mecklenburg western pomerania,code13,
2018,percentage,b) severe material and social deprivation,germany,.,,,mecklenburg western pomerania,code13,
2019,percentage,b) severe material and social deprivation,germany,.,,,mecklenburg western pomerania,code13,
2020,percentage,b) severe material and social deprivation,germany,.,,,mecklenburg western pomerania,code13,
2021,percentage,b) severe material and social deprivation,germany,,,,mecklenburg western pomerania,code13,4.3
2022,percentage,b) severe material and social deprivation,germany,,,,mecklenburg western pomerania,code13,8.4
2023,percentage,b) severe material and social deprivation,germany,,,,mecklenburg western pomerania,code13,8.8
2024,percentage,b) severe material and social deprivation,germany,,,,mecklenburg western pomerania,code13,5.2
2014,percentage,b) severe material and social deprivation,germany,.,,,lower saxony,code03,
2015,percentage,b) severe material and social deprivation,germany,.,,,lower saxony,code03,
2016,percentage,b) severe material and social deprivation,germany,.,,,lower saxony,code03,
2017,percentage,b) severe material and social deprivation,germany,.,,,lower saxony,code03,
2018,percentage,b) severe material and social deprivation,germany,.,,,lower saxony,code03,
2019,percentage,b) severe material and social deprivation,germany,.,,,lower saxony,code03,
2020,percentage,b) severe material and social deprivation,germany,.,,,lower saxony,code03,
2021,percentage,b) severe material and social deprivation,germany,,,,lower saxony,code03,4.9
2022,percentage,b) severe material and social deprivation,germany,,,,lower saxony,code03,7.3
2023,percentage,b) severe material and social deprivation,germany,,,,lower saxony,code03,7.7
2024,percentage,b) severe material and social deprivation,germany,,,,lower saxony,code03,7.5
2014,percentage,b) severe material and social deprivation,germany,.,,,north rhine-westphalia,code05,
2015,percentage,b) severe material and social deprivation,germany,.,,,north rhine-westphalia,code05,
2016,percentage,b) severe material and social deprivation,germany,.,,,north rhine-westphalia,code05,
2017,percentage,b) severe material and social deprivation,germany,.,,,north rhine-westphalia,code05,
2018,percentage,b) severe material and social deprivation,germany,.,,,north rhine-westphalia,code05,
2019,percentage,b) severe material and social deprivation,germany,.,,,north rhine-westphalia,code05,
2020,percentage,b) severe material and social deprivation,germany,.,,,north rhine-westphalia,code05,
2021,percentage,b) severe material and social deprivation,germany,,,,north rhine-westphalia,code05,5.8
2022,percentage,b) severe material and social deprivation,germany,,,,north rhine-westphalia,code05,8.5
2023,percentage,b) severe material and social deprivation,germany,,,,north rhine-westphalia,code05,9.1
2024,percentage,b) severe material and social deprivation,germany,,,,north rhine-westphalia,code05,7.8
2014,percentage,b) severe material and social deprivation,germany,.,,,rhineland palatinate,code07,
2015,percentage,b) severe material and social deprivation,germany,.,,,rhineland palatinate,code07,
2016,percentage,b) severe material and social deprivation,germany,.,,,rhineland palatinate,code07,
2017,percentage,b) severe material and social deprivation,germany,.,,,rhineland palatinate,code07,
2018,percentage,b) severe material and social deprivation,germany,.,,,rhineland palatinate,code07,
2019,percentage,b) severe material and social deprivation,germany,.,,,rhineland palatinate,code07,
2020,percentage,b) severe material and social deprivation,germany,.,,,rhineland palatinate,code07,
2021,percentage,b) severe material and social deprivation,germany,,,,rhineland palatinate,code07,3.9
2022,percentage,b) severe material and social deprivation,germany,,,,rhineland palatinate,code07,5.7
2023,percentage,b) severe material and social deprivation,germany,,,,rhineland palatinate,code07,7.4
2024,percentage,b) severe material and social deprivation,germany,,,,rhineland palatinate,code07,7.3
2014,percentage,b) severe material and social deprivation,germany,.,,,saarland,code10,
2015,percentage,b) severe material and social deprivation,germany,.,,,saarland,code10,
2016,percentage,b) severe material and social deprivation,germany,.,,,saarland,code10,
2017,percentage,b) severe material and social deprivation,germany,.,,,saarland,code10,
2018,percentage,b) severe material and social deprivation,germany,.,,,saarland,code10,
2019,percentage,b) severe material and social deprivation,germany,.,,,saarland,code10,
2020,percentage,b) severe material and social deprivation,germany,.,,,saarland,code10,
2021,percentage,b) severe material and social deprivation,germany,,,,saarland,code10,3.0
2022,percentage,b) severe material and social deprivation,germany,,,,saarland,code10,5.8
2023,percentage,b) severe material and social deprivation,germany,,,,saarland,code10,9.0
2024,percentage,b) severe material and social deprivation,germany,,,,saarland,code10,8.4
2014,percentage,b) severe material and social deprivation,germany,.,,,saxony,code14,
2015,percentage,b) severe material and social deprivation,germany,.,,,saxony,code14,
2016,percentage,b) severe material and social deprivation,germany,.,,,saxony,code14,
2017,percentage,b) severe material and social deprivation,germany,.,,,saxony,code14,
2018,percentage,b) severe material and social deprivation,germany,.,,,saxony,code14,
2019,percentage,b) severe material and social deprivation,germany,.,,,saxony,code14,
2020,percentage,b) severe material and social deprivation,germany,.,,,saxony,code14,
2021,percentage,b) severe material and social deprivation,germany,,,,saxony,code14,2.8
2022,percentage,b) severe material and social deprivation,germany,,,,saxony,code14,2.6
2023,percentage,b) severe material and social deprivation,germany,,,,saxony,code14,4.4
2024,percentage,b) severe material and social deprivation,germany,,,,saxony,code14,4.3
2014,percentage,b) severe material and social deprivation,germany,.,,,saxony-anhalt,code15,
2015,percentage,b) severe material and social deprivation,germany,.,,,saxony-anhalt,code15,
2016,percentage,b) severe material and social deprivation,germany,.,,,saxony-anhalt,code15,
2017,percentage,b) severe material and social deprivation,germany,.,,,saxony-anhalt,code15,
2018,percentage,b) severe material and social deprivation,germany,.,,,saxony-anhalt,code15,
2019,percentage,b) severe material and social deprivation,germany,.,,,saxony-anhalt,code15,
2020,percentage,b) severe material and social deprivation,germany,.,,,saxony-anhalt,code15,
2021,percentage,b) severe material and social deprivation,germany,,,,saxony-anhalt,code15,3.1
2022,percentage,b) severe material and social deprivation,germany,,,,saxony-anhalt,code15,5.1
2023,percentage,b) severe material and social deprivation,germany,,,,saxony-anhalt,code15,4.7
2024,percentage,b) severe material and social deprivation,germany,,,,saxony-anhalt,code15,4.3
2014,percentage,b) severe material and social deprivation,germany,.,,,schleswig-holstein,code01,
2015,percentage,b) severe material and social deprivation,germany,.,,,schleswig-holstein,code01,
2016,percentage,b) severe material and social deprivation,germany,.,,,schleswig-holstein,code01,
2017,percentage,b) severe material and social deprivation,germany,.,,,schleswig-holstein,code01,
2018,percentage,b) severe material and social deprivation,germany,.,,,schleswig-holstein,code01,
2019,percentage,b) severe material and social deprivation,germany,.,,,schleswig-holstein,code01,
2020,percentage,b) severe material and social deprivation,germany,.,,,schleswig-holstein,code01,
2021,percentage,b) severe material and social deprivation,germany,,,,schleswig-holstein,code01,4.0
2022,percentage,b) severe material and social deprivation,germany,,,,schleswig-holstein,code01,5.7
2023,percentage,b) severe material and social deprivation,germany,,,,schleswig-holstein,code01,6.7
2024,percentage,b) severe material and social deprivation,germany,,,,schleswig-holstein,code01,5.5
2014,percentage,b) severe material and social deprivation,germany,.,,,thuringia,code16,
2015,percentage,b) severe material and social deprivation,germany,.,,,thuringia,code16,
2016,percentage,b) severe material and social deprivation,germany,.,,,thuringia,code16,
2017,percentage,b) severe material and social deprivation,germany,.,,,thuringia,code16,
2018,percentage,b) severe material and social deprivation,germany,.,,,thuringia,code16,
2019,percentage,b) severe material and social deprivation,germany,.,,,thuringia,code16,
2020,percentage,b) severe material and social deprivation,germany,.,,,thuringia,code16,
2021,percentage,b) severe material and social deprivation,germany,,,,thuringia,code16,5.8
2022,percentage,b) severe material and social deprivation,germany,,,,thuringia,code16,6.6
2023,percentage,b) severe material and social deprivation,germany,,,,thuringia,code16,8.4
2024,percentage,b) severe material and social deprivation,germany,,,,thuringia,code16,6.5
