Year,Units,Series,sex,federal state,GeoCode,Value
2004,percentage,foreigns,male,baden-wuerttemberg,code08,79.1
2005,percentage,foreigns,male,baden-wuerttemberg,code08,79.5
2006,percentage,foreigns,male,baden-wuerttemberg,code08,81.1
2007,percentage,foreigns,male,baden-wuerttemberg,code08,82.5
2008,percentage,foreigns,male,baden-wuerttemberg,code08,84.0
2009,percentage,foreigns,male,baden-wuerttemberg,code08,85.1
2010,percentage,foreigns,male,baden-wuerttemberg,code08,86.9
2011,percentage,foreigns,male,baden-wuerttemberg,code08,86.9
2012,percentage,foreigns,male,baden-wuerttemberg,code08,86.3
2013,percentage,foreigns,male,baden-wuerttemberg,code08,88.7
2014,percentage,foreigns,male,baden-wuerttemberg,code08,88.0
2015,percentage,foreigns,male,baden-wuerttemberg,code08,88.7
2016,percentage,foreigns,male,baden-wuerttemberg,code08,86.1
2017,percentage,foreigns,male,baden-wuerttemberg,code08,76.5
2018,percentage,foreigns,male,baden-wuerttemberg,code08,78.2
2019,percentage,foreigns,male,baden-wuerttemberg,code08,81.7
2020,percentage,foreigns,male,baden-wuerttemberg,code08,83.2
2021,percentage,foreigns,male,baden-wuerttemberg,code08,81.6
2030,percentage,foreigns,,,,
1996,percentage,foreigns,,bavaria,code09,74.8
1997,percentage,foreigns,,bavaria,code09,74.8
1998,percentage,foreigns,,bavaria,code09,72.8
1999,percentage,foreigns,,bavaria,code09,74.6
2000,percentage,foreigns,,bavaria,code09,74.7
2001,percentage,foreigns,,bavaria,code09,72.1
2002,percentage,foreigns,,bavaria,code09,75.7
2003,percentage,foreigns,,bavaria,code09,77.7
2004,percentage,foreigns,,bavaria,code09,78.5
2005,percentage,foreigns,,bavaria,code09,80.0
2006,percentage,foreigns,,bavaria,code09,81.9
2007,percentage,foreigns,,bavaria,code09,83.4
2008,percentage,foreigns,,bavaria,code09,84.4
2009,percentage,foreigns,,bavaria,code09,85.4
2010,percentage,foreigns,,bavaria,code09,87.4
2011,percentage,foreigns,,bavaria,code09,89.4
2012,percentage,foreigns,,bavaria,code09,88.5
2013,percentage,foreigns,,bavaria,code09,89.1
2014,percentage,foreigns,,bavaria,code09,88.3
2015,percentage,foreigns,,bavaria,code09,86.5
2016,percentage,foreigns,,bavaria,code09,81.6
2017,percentage,foreigns,,bavaria,code09,79.0
2018,percentage,foreigns,,bavaria,code09,81.2
2019,percentage,foreigns,,bavaria,code09,82.2
2020,percentage,foreigns,,bavaria,code09,84.4
2021,percentage,foreigns,,bavaria,code09,84.8
2030,percentage,foreigns,,,,
1996,percentage,foreigns,female,bavaria,code09,80.1
1997,percentage,foreigns,female,bavaria,code09,80.3
1998,percentage,foreigns,female,bavaria,code09,76.8
1999,percentage,foreigns,female,bavaria,code09,79.6
2000,percentage,foreigns,female,bavaria,code09,80.2
2001,percentage,foreigns,female,bavaria,code09,78.4
2002,percentage,foreigns,female,bavaria,code09,80.9
2003,percentage,foreigns,female,bavaria,code09,82.0
2004,percentage,foreigns,female,bavaria,code09,83.3
2005,percentage,foreigns,female,bavaria,code09,84.0
2006,percentage,foreigns,female,bavaria,code09,85.7
2007,percentage,foreigns,female,bavaria,code09,87.1
2008,percentage,foreigns,female,bavaria,code09,87.6
2009,percentage,foreigns,female,bavaria,code09,88.0
2010,percentage,foreigns,female,bavaria,code09,89.9
2011,percentage,foreigns,female,bavaria,code09,91.6
2012,percentage,foreigns,female,bavaria,code09,90.9
2013,percentage,foreigns,female,bavaria,code09,91.6
2014,percentage,foreigns,female,bavaria,code09,90.9
2015,percentage,foreigns,female,bavaria,code09,90.0
2016,percentage,foreigns,female,bavaria,code09,88.6
2017,percentage,foreigns,female,bavaria,code09,86.0
2018,percentage,foreigns,female,bavaria,code09,85.7
2019,percentage,foreigns,female,bavaria,code09,86.6
2020,percentage,foreigns,female,bavaria,code09,87.4
2021,percentage,foreigns,female,bavaria,code09,88.4
2030,percentage,foreigns,,,,
1996,percentage,foreigns,male,bavaria,code09,70.1
1997,percentage,foreigns,male,bavaria,code09,69.6
1998,percentage,foreigns,male,bavaria,code09,69.1
1999,percentage,foreigns,male,bavaria,code09,70.0
2000,percentage,foreigns,male,bavaria,code09,69.6
2001,percentage,foreigns,male,bavaria,code09,66.2
2002,percentage,foreigns,male,bavaria,code09,70.7
2003,percentage,foreigns,male,bavaria,code09,73.8
2004,percentage,foreigns,male,bavaria,code09,74.1
2005,percentage,foreigns,male,bavaria,code09,76.3
2006,percentage,foreigns,male,bavaria,code09,78.2
2007,percentage,foreigns,male,bavaria,code09,79.9
2008,percentage,foreigns,male,bavaria,code09,81.4
2009,percentage,foreigns,male,bavaria,code09,82.8
2010,percentage,foreigns,male,bavaria,code09,84.9
2011,percentage,foreigns,male,bavaria,code09,87.3
2012,percentage,foreigns,male,bavaria,code09,86.3
2013,percentage,foreigns,male,bavaria,code09,86.8
2014,percentage,foreigns,male,bavaria,code09,85.9
2015,percentage,foreigns,male,bavaria,code09,83.5
2016,percentage,foreigns,male,bavaria,code09,76.0
2017,percentage,foreigns,male,bavaria,code09,73.4
2018,percentage,foreigns,male,bavaria,code09,77.8
2019,percentage,foreigns,male,bavaria,code09,78.5
2020,percentage,foreigns,male,bavaria,code09,81.8
2021,percentage,foreigns,male,bavaria,code09,81.6
2030,percentage,foreigns,,,,
1996,percentage,foreigns,,berlin,code11,73.3
1997,percentage,foreigns,,berlin,code11,73.0
1998,percentage,foreigns,,berlin,code11,69.4
1999,percentage,foreigns,,berlin,code11,72.4
2000,percentage,foreigns,,berlin,code11,74.4
2001,percentage,foreigns,,berlin,code11,76.0
2002,percentage,foreigns,,berlin,code11,75.9
2003,percentage,foreigns,,berlin,code11,74.1
2004,percentage,foreigns,,berlin,code11,77.1
2005,percentage,foreigns,,berlin,code11,77.9
2006,percentage,foreigns,,berlin,code11,79.3
2007,percentage,foreigns,,berlin,code11,79.6
2008,percentage,foreigns,,berlin,code11,80.3
2009,percentage,foreigns,,berlin,code11,83.6
2010,percentage,foreigns,,berlin,code11,82.9
2011,percentage,foreigns,,berlin,code11,84.7
2012,percentage,foreigns,,berlin,code11,87.4
2013,percentage,foreigns,,berlin,code11,87.5
2014,percentage,foreigns,,berlin,code11,83.5
2015,percentage,foreigns,,berlin,code11,78.7
2016,percentage,foreigns,,berlin,code11,81.0
2017,percentage,foreigns,,berlin,code11,79.2
2018,percentage,foreigns,,berlin,code11,78.3
2019,percentage,foreigns,,berlin,code11,81.1
2020,percentage,foreigns,,berlin,code11,92.8
2021,percentage,foreigns,,berlin,code11,84.3
2030,percentage,foreigns,,,,
1996,percentage,foreigns,female,berlin,code11,79.8
1997,percentage,foreigns,female,berlin,code11,78.3
1998,percentage,foreigns,female,berlin,code11,76.2
1999,percentage,foreigns,female,berlin,code11,78.4
2000,percentage,foreigns,female,berlin,code11,78.1
2001,percentage,foreigns,female,berlin,code11,81.0
2002,percentage,foreigns,female,berlin,code11,79.4
2003,percentage,foreigns,female,berlin,code11,79.6
2004,percentage,foreigns,female,berlin,code11,81.3
2005,percentage,foreigns,female,berlin,code11,83.0
2006,percentage,foreigns,female,berlin,code11,83.6
2007,percentage,foreigns,female,berlin,code11,82.5
2008,percentage,foreigns,female,berlin,code11,84.4
2009,percentage,foreigns,female,berlin,code11,85.8
2010,percentage,foreigns,female,berlin,code11,86.2
2011,percentage,foreigns,female,berlin,code11,87.9
2012,percentage,foreigns,female,berlin,code11,89.2
2013,percentage,foreigns,female,berlin,code11,89.6
2014,percentage,foreigns,female,berlin,code11,85.6
2015,percentage,foreigns,female,berlin,code11,82.4
2016,percentage,foreigns,female,berlin,code11,83.3
2017,percentage,foreigns,female,berlin,code11,82.4
2018,percentage,foreigns,female,berlin,code11,83.0
2019,percentage,foreigns,female,berlin,code11,85.3
2020,percentage,foreigns,female,berlin,code11,95.3
2021,percentage,foreigns,female,berlin,code11,85.7
2030,percentage,foreigns,,,,
1996,percentage,foreigns,male,berlin,code11,67.5
1997,percentage,foreigns,male,berlin,code11,68.7
1998,percentage,foreigns,male,berlin,code11,63.8
1999,percentage,foreigns,male,berlin,code11,67.5
2000,percentage,foreigns,male,berlin,code11,71.1
2001,percentage,foreigns,male,berlin,code11,71.3
2002,percentage,foreigns,male,berlin,code11,72.9
2003,percentage,foreigns,male,berlin,code11,69.5
2004,percentage,foreigns,male,berlin,code11,73.4
2005,percentage,foreigns,male,berlin,code11,73.4
2006,percentage,foreigns,male,berlin,code11,75.3
2007,percentage,foreigns,male,berlin,code11,76.8
2008,percentage,foreigns,male,berlin,code11,76.5
2009,percentage,foreigns,male,berlin,code11,81.5
2010,percentage,foreigns,male,berlin,code11,79.9
2011,percentage,foreigns,male,berlin,code11,81.6
2012,percentage,foreigns,male,berlin,code11,85.5
2013,percentage,foreigns,male,berlin,code11,85.4
2014,percentage,foreigns,male,berlin,code11,81.5
2015,percentage,foreigns,male,berlin,code11,75.2
2016,percentage,foreigns,male,berlin,code11,79.1
2017,percentage,foreigns,male,berlin,code11,76.3
2018,percentage,foreigns,male,berlin,code11,74.4
2019,percentage,foreigns,male,berlin,code11,77.5
2020,percentage,foreigns,male,berlin,code11,90.6
2021,percentage,foreigns,male,berlin,code11,83.1
2030,percentage,foreigns,,,,
1996,percentage,foreigns,,brandenburg,code12,95.8
1997,percentage,foreigns,,brandenburg,code12,92.7
1998,percentage,foreigns,,brandenburg,code12,91.1
1999,percentage,foreigns,,brandenburg,code12,91.0
2000,percentage,foreigns,,brandenburg,code12,90.3
2001,percentage,foreigns,,brandenburg,code12,92.4
2002,percentage,foreigns,,brandenburg,code12,94.4
2003,percentage,foreigns,,brandenburg,code12,90.0
2004,percentage,foreigns,,brandenburg,code12,93.2
2005,percentage,foreigns,,brandenburg,code12,86.3
2006,percentage,foreigns,,brandenburg,code12,86.6
2007,percentage,foreigns,,brandenburg,code12,90.5
2008,percentage,foreigns,,brandenburg,code12,91.6
2009,percentage,foreigns,,brandenburg,code12,94.9
2010,percentage,foreigns,,brandenburg,code12,93.3
2011,percentage,foreigns,,brandenburg,code12,92.9
2012,percentage,foreigns,,brandenburg,code12,94.3
2013,percentage,foreigns,,brandenburg,code12,94.0
2014,percentage,foreigns,,brandenburg,code12,94.7
2015,percentage,foreigns,,brandenburg,code12,94.5
2016,percentage,foreigns,,brandenburg,code12,82.7
2017,percentage,foreigns,,brandenburg,code12,82.7
2018,percentage,foreigns,,brandenburg,code12,81.0
2019,percentage,foreigns,,brandenburg,code12,83.9
2020,percentage,foreigns,,brandenburg,code12,95.2
2021,percentage,foreigns,,brandenburg,code12,91.4
2030,percentage,foreigns,,,,
1996,percentage,foreigns,female,brandenburg,code12,100.0
1997,percentage,foreigns,female,brandenburg,code12,97.8
1998,percentage,foreigns,female,brandenburg,code12,94.3
1999,percentage,foreigns,female,brandenburg,code12,94.7
2000,percentage,foreigns,female,brandenburg,code12,92.9
2001,percentage,foreigns,female,brandenburg,code12,98.6
2002,percentage,foreigns,female,brandenburg,code12,97.7
2003,percentage,foreigns,female,brandenburg,code12,96.1
2004,percentage,foreigns,female,brandenburg,code12,96.2
2005,percentage,foreigns,female,brandenburg,code12,91.8
2006,percentage,foreigns,female,brandenburg,code12,89.9
2007,percentage,foreigns,female,brandenburg,code12,95.2
2008,percentage,foreigns,female,brandenburg,code12,95.0
2009,percentage,foreigns,female,brandenburg,code12,97.2
2010,percentage,foreigns,female,brandenburg,code12,95.8
2011,percentage,foreigns,female,brandenburg,code12,94.7
2012,percentage,foreigns,female,brandenburg,code12,98.2
2013,percentage,foreigns,female,brandenburg,code12,97.8
2014,percentage,foreigns,female,brandenburg,code12,97.3
2015,percentage,foreigns,female,brandenburg,code12,95.9
2016,percentage,foreigns,female,brandenburg,code12,90.4
2017,percentage,foreigns,female,brandenburg,code12,87.8
2018,percentage,foreigns,female,brandenburg,code12,83.7
2019,percentage,foreigns,female,brandenburg,code12,86.2
2020,percentage,foreigns,female,brandenburg,code12,94.9
2021,percentage,foreigns,female,brandenburg,code12,93.6
2030,percentage,foreigns,,,,
1996,percentage,foreigns,male,brandenburg,code12,91.7
1997,percentage,foreigns,male,brandenburg,code12,87.2
1998,percentage,foreigns,male,brandenburg,code12,87.4
1999,percentage,foreigns,male,brandenburg,code12,87.2
2000,percentage,foreigns,male,brandenburg,code12,87.2
2001,percentage,foreigns,male,brandenburg,code12,83.7
2002,percentage,foreigns,male,brandenburg,code12,91.1
2003,percentage,foreigns,male,brandenburg,code12,83.7
2004,percentage,foreigns,male,brandenburg,code12,90.1
2005,percentage,foreigns,male,brandenburg,code12,80.9
2006,percentage,foreigns,male,brandenburg,code12,83.4
2007,percentage,foreigns,male,brandenburg,code12,84.0
2008,percentage,foreigns,male,brandenburg,code12,87.8
2009,percentage,foreigns,male,brandenburg,code12,92.3
2010,percentage,foreigns,male,brandenburg,code12,90.6
2011,percentage,foreigns,male,brandenburg,code12,91.3
2012,percentage,foreigns,male,brandenburg,code12,90.8
2013,percentage,foreigns,male,brandenburg,code12,90.1
2014,percentage,foreigns,male,brandenburg,code12,92.5
2015,percentage,foreigns,male,brandenburg,code12,93.3
2016,percentage,foreigns,male,brandenburg,code12,75.6
2017,percentage,foreigns,male,brandenburg,code12,79.5
2018,percentage,foreigns,male,brandenburg,code12,79.4
2019,percentage,foreigns,male,brandenburg,code12,82.6
2020,percentage,foreigns,male,brandenburg,code12,95.4
2021,percentage,foreigns,male,brandenburg,code12,89.7
2030,percentage,foreigns,,,,
1996,percentage,foreigns,,bremen,code04,77.6
1997,percentage,foreigns,,bremen,code04,82.4
1998,percentage,foreigns,,bremen,code04,82.4
1999,percentage,foreigns,,bremen,code04,83.8
2000,percentage,foreigns,,bremen,code04,80.0
2001,percentage,foreigns,,bremen,code04,81.1
2002,percentage,foreigns,,bremen,code04,85.7
2003,percentage,foreigns,,bremen,code04,81.7
2004,percentage,foreigns,,bremen,code04,82.2
2005,percentage,foreigns,,bremen,code04,83.4
2006,percentage,foreigns,,bremen,code04,85.4
2007,percentage,foreigns,,bremen,code04,84.1
2008,percentage,foreigns,,bremen,code04,88.4
2009,percentage,foreigns,,bremen,code04,89.1
2010,percentage,foreigns,,bremen,code04,90.1
2011,percentage,foreigns,,bremen,code04,87.3
2012,percentage,foreigns,,bremen,code04,91.2
2013,percentage,foreigns,,bremen,code04,87.3
2014,percentage,foreigns,,bremen,code04,90.0
2015,percentage,foreigns,,bremen,code04,89.5
2016,percentage,foreigns,,bremen,code04,84.6
2017,percentage,foreigns,,bremen,code04,78.7
2018,percentage,foreigns,,bremen,code04,79.7
2019,percentage,foreigns,,bremen,code04,73.9
2020,percentage,foreigns,,bremen,code04,76.4
2021,percentage,foreigns,,bremen,code04,78.0
2030,percentage,foreigns,,,,
1996,percentage,foreigns,female,bremen,code04,81.0
1997,percentage,foreigns,female,bremen,code04,86.9
1998,percentage,foreigns,female,bremen,code04,84.8
1999,percentage,foreigns,female,bremen,code04,88.4
2000,percentage,foreigns,female,bremen,code04,84.3
2001,percentage,foreigns,female,bremen,code04,86.7
2002,percentage,foreigns,female,bremen,code04,88.6
2003,percentage,foreigns,female,bremen,code04,82.7
2004,percentage,foreigns,female,bremen,code04,85.8
2005,percentage,foreigns,female,bremen,code04,88.1
2006,percentage,foreigns,female,bremen,code04,90.9
2007,percentage,foreigns,female,bremen,code04,86.8
2008,percentage,foreigns,female,bremen,code04,90.9
2009,percentage,foreigns,female,bremen,code04,91.2
2010,percentage,foreigns,female,bremen,code04,92.4
2011,percentage,foreigns,female,bremen,code04,91.4
2012,percentage,foreigns,female,bremen,code04,92.6
2013,percentage,foreigns,female,bremen,code04,89.7
2014,percentage,foreigns,female,bremen,code04,91.2
2015,percentage,foreigns,female,bremen,code04,94.4
2016,percentage,foreigns,female,bremen,code04,87.2
2017,percentage,foreigns,female,bremen,code04,82.9
2018,percentage,foreigns,female,bremen,code04,82.1
2019,percentage,foreigns,female,bremen,code04,75.3
2020,percentage,foreigns,female,bremen,code04,78.3
2021,percentage,foreigns,female,bremen,code04,78.9
2030,percentage,foreigns,,,,
1996,percentage,foreigns,male,bremen,code04,74.6
1997,percentage,foreigns,male,bremen,code04,78.7
1998,percentage,foreigns,male,bremen,code04,80.2
1999,percentage,foreigns,male,bremen,code04,79.6
2000,percentage,foreigns,male,bremen,code04,76.1
2001,percentage,foreigns,male,bremen,code04,76.1
2002,percentage,foreigns,male,bremen,code04,82.5
2003,percentage,foreigns,male,bremen,code04,80.6
2004,percentage,foreigns,male,bremen,code04,78.9
2005,percentage,foreigns,male,bremen,code04,79.1
2006,percentage,foreigns,male,bremen,code04,80.2
2007,percentage,foreigns,male,bremen,code04,81.7
2008,percentage,foreigns,male,bremen,code04,86.0
2009,percentage,foreigns,male,bremen,code04,86.8
2010,percentage,foreigns,male,bremen,code04,87.8
2011,percentage,foreigns,male,bremen,code04,82.9
2012,percentage,foreigns,male,bremen,code04,89.8
2013,percentage,foreigns,male,bremen,code04,85.1
2014,percentage,foreigns,male,bremen,code04,88.9
2015,percentage,foreigns,male,bremen,code04,86.1
2016,percentage,foreigns,male,bremen,code04,82.2
2017,percentage,foreigns,male,bremen,code04,75.0
2018,percentage,foreigns,male,bremen,code04,77.9
2019,percentage,foreigns,male,bremen,code04,72.8
2020,percentage,foreigns,male,bremen,code04,74.8
2021,percentage,foreigns,male,bremen,code04,77.3
2030,percentage,foreigns,,,,
1996,percentage,foreigns,,hamburg,code02,81.4
1997,percentage,foreigns,,hamburg,code02,82.8
1998,percentage,foreigns,,hamburg,code02,81.8
1999,percentage,foreigns,,hamburg,code02,79.6
2000,percentage,foreigns,,hamburg,code02,79.5
2001,percentage,foreigns,,hamburg,code02,80.3
2002,percentage,foreigns,,hamburg,code02,82.3
2003,percentage,foreigns,,hamburg,code02,81.7
2004,percentage,foreigns,,hamburg,code02,80.1
2005,percentage,foreigns,,hamburg,code02,80.1
2006,percentage,foreigns,,hamburg,code02,79.6
2007,percentage,foreigns,,hamburg,code02,81.6
2008,percentage,foreigns,,hamburg,code02,84.7
2009,percentage,foreigns,,hamburg,code02,85.1
2010,percentage,foreigns,,hamburg,code02,87.4
2011,percentage,foreigns,,hamburg,code02,87.6
2012,percentage,foreigns,,hamburg,code02,89.5
2013,percentage,foreigns,,hamburg,code02,90.5
2014,percentage,foreigns,,hamburg,code02,90.0
2015,percentage,foreigns,,hamburg,code02,89.6
2016,percentage,foreigns,,hamburg,code02,86.5
2017,percentage,foreigns,,hamburg,code02,87.6
2018,percentage,foreigns,,hamburg,code02,84.9
2019,percentage,foreigns,,hamburg,code02,86.7
2020,percentage,foreigns,,hamburg,code02,84.5
2021,percentage,foreigns,,hamburg,code02,86.5
2030,percentage,foreigns,,,,
1996,percentage,foreigns,female,hamburg,code02,83.8
1997,percentage,foreigns,female,hamburg,code02,86.0
1998,percentage,foreigns,female,hamburg,code02,85.1
1999,percentage,foreigns,female,hamburg,code02,84.8
2000,percentage,foreigns,female,hamburg,code02,81.9
2001,percentage,foreigns,female,hamburg,code02,84.5
2002,percentage,foreigns,female,hamburg,code02,85.5
2003,percentage,foreigns,female,hamburg,code02,85.8
2004,percentage,foreigns,female,hamburg,code02,83.8
2005,percentage,foreigns,female,hamburg,code02,83.8
2006,percentage,foreigns,female,hamburg,code02,81.5
2007,percentage,foreigns,female,hamburg,code02,84.2
2008,percentage,foreigns,female,hamburg,code02,87.3
2009,percentage,foreigns,female,hamburg,code02,87.5
2010,percentage,foreigns,female,hamburg,code02,90.0
2011,percentage,foreigns,female,hamburg,code02,89.0
2012,percentage,foreigns,female,hamburg,code02,91.6
2013,percentage,foreigns,female,hamburg,code02,91.6
2014,percentage,foreigns,female,hamburg,code02,92.1
2015,percentage,foreigns,female,hamburg,code02,91.9
2016,percentage,foreigns,female,hamburg,code02,88.3
2017,percentage,foreigns,female,hamburg,code02,89.0
2018,percentage,foreigns,female,hamburg,code02,87.3
