Year,Units,COMMENT_OBS_0,länder,GeoCode,age group,sex,Value
2001,percentage,.,bavaria,code09,,,
2002,percentage,.,bavaria,code09,,,
2004,percentage,.,bavaria,code09,,,
2006,percentage,.,bavaria,code09,,,
2007,percentage,.,bavaria,code09,,,
2008,percentage,.,bavaria,code09,,,
2010,percentage,.,bavaria,code09,,,
2011,percentage,.,bavaria,code09,,,
2012,percentage,.,bavaria,code09,,,
2014,percentage,.,bavaria,code09,,,
2015,percentage,.,bavaria,code09,,,
2016,percentage,.,bavaria,code09,,,
2018,percentage,.,bavaria,code09,,,
2019,percentage,.,bavaria,code09,,,
2020,percentage,.,bavaria,code09,,,
1999,percentage,,berlin,code11,,,9.206
2003,percentage,,berlin,code11,,,10.185
2005,percentage,,berlin,code11,,,11.228
2009,percentage,,berlin,code11,,,11.187
2013,percentage,,berlin,code11,,,11.727
2017,percentage,,berlin,code11,,,11.913
2021,percentage,,berlin,code11,,,13.114
2000,percentage,.,berlin,code11,,,
2001,percentage,.,berlin,code11,,,
2002,percentage,.,berlin,code11,,,
2004,percentage,.,berlin,code11,,,
2006,percentage,.,berlin,code11,,,
2007,percentage,.,berlin,code11,,,
2008,percentage,.,berlin,code11,,,
2010,percentage,.,berlin,code11,,,
2011,percentage,.,berlin,code11,,,
2012,percentage,.,berlin,code11,,,
2014,percentage,.,berlin,code11,,,
2015,percentage,.,berlin,code11,,,
2016,percentage,.,berlin,code11,,,
2018,percentage,.,berlin,code11,,,
2019,percentage,.,berlin,code11,,,
2020,percentage,.,berlin,code11,,,
1999,percentage,,brandenburg,code12,,,13.054
2003,percentage,,brandenburg,code12,,,13.122
2005,percentage,,brandenburg,code12,,,13.811
2009,percentage,,brandenburg,code12,,,14.843
2013,percentage,,brandenburg,code12,,,14.925
2017,percentage,,brandenburg,code12,,,15.47
2021,percentage,,brandenburg,code12,,,16.36
2000,percentage,.,brandenburg,code12,,,
2001,percentage,.,brandenburg,code12,,,
2002,percentage,.,brandenburg,code12,,,
2004,percentage,.,brandenburg,code12,,,
2006,percentage,.,brandenburg,code12,,,
2007,percentage,.,brandenburg,code12,,,
2008,percentage,.,brandenburg,code12,,,
2010,percentage,.,brandenburg,code12,,,
2011,percentage,.,brandenburg,code12,,,
2012,percentage,.,brandenburg,code12,,,
2014,percentage,.,brandenburg,code12,,,
2015,percentage,.,brandenburg,code12,,,
2016,percentage,.,brandenburg,code12,,,
2018,percentage,.,brandenburg,code12,,,
2019,percentage,.,brandenburg,code12,,,
2020,percentage,.,brandenburg,code12,,,
1999,percentage,,bremen,code04,,,8.863
2003,percentage,,bremen,code04,,,10.82
2005,percentage,,bremen,code04,,,10.152
2009,percentage,,bremen,code04,,,11.745
2013,percentage,,bremen,code04,,,13.546
2017,percentage,,bremen,code04,,,16.937
2021,percentage,,bremen,code04,,,16.966
2000,percentage,.,bremen,code04,,,
2001,percentage,.,bremen,code04,,,
2002,percentage,.,bremen,code04,,,
2004,percentage,.,bremen,code04,,,
2006,percentage,.,bremen,code04,,,
2007,percentage,.,bremen,code04,,,
2008,percentage,.,bremen,code04,,,
2010,percentage,.,bremen,code04,,,
2011,percentage,.,bremen,code04,,,
2012,percentage,.,bremen,code04,,,
2014,percentage,.,bremen,code04,,,
2015,percentage,.,bremen,code04,,,
2016,percentage,.,bremen,code04,,,
2018,percentage,.,bremen,code04,,,
2019,percentage,.,bremen,code04,,,
2020,percentage,.,bremen,code04,,,
1999,percentage,,hamburg,code02,,,8.318
2003,percentage,,hamburg,code02,,,9.04
2005,percentage,,hamburg,code02,,,9.702
2009,percentage,,hamburg,code02,,,9.909
2013,percentage,,hamburg,code02,,,10.515
2017,percentage,,hamburg,code02,,,11.483
2021,percentage,,hamburg,code02,,,11.936
2000,percentage,.,hamburg,code02,,,
2001,percentage,.,hamburg,code02,,,
2002,percentage,.,hamburg,code02,,,
2004,percentage,.,hamburg,code02,,,
2006,percentage,.,hamburg,code02,,,
2007,percentage,.,hamburg,code02,,,
2008,percentage,.,hamburg,code02,,,
2010,percentage,.,hamburg,code02,,,
2011,percentage,.,hamburg,code02,,,
2012,percentage,.,hamburg,code02,,,
2014,percentage,.,hamburg,code02,,,
2015,percentage,.,hamburg,code02,,,
2016,percentage,.,hamburg,code02,,,
2018,percentage,.,hamburg,code02,,,
2019,percentage,.,hamburg,code02,,,
2020,percentage,.,hamburg,code02,,,
1999,percentage,,hesse,code06,,,10.812
2003,percentage,,hesse,code06,,,11.599
2005,percentage,,hesse,code06,,,11.943
2009,percentage,,hesse,code06,,,13.288
2013,percentage,,hesse,code06,,,14.233
2017,percentage,,hesse,code06,,,14.898
2021,percentage,,hesse,code06,,,15.654
2000,percentage,.,hesse,code06,,,
2001,percentage,.,hesse,code06,,,
2002,percentage,.,hesse,code06,,,
2004,percentage,.,hesse,code06,,,
2006,percentage,.,hesse,code06,,,
2007,percentage,.,hesse,code06,,,
2008,percentage,.,hesse,code06,,,
2010,percentage,.,hesse,code06,,,
2011,percentage,.,hesse,code06,,,
2012,percentage,.,hesse,code06,,,
2014,percentage,.,hesse,code06,,,
2015,percentage,.,hesse,code06,,,
2016,percentage,.,hesse,code06,,,
2018,percentage,.,hesse,code06,,,
2019,percentage,.,hesse,code06,,,
2020,percentage,.,hesse,code06,,,
1999,percentage,,mecklenburg western pomerania,code13,,,13.848
2003,percentage,,mecklenburg western pomerania,code13,,,16.326
2005,percentage,,mecklenburg western pomerania,code13,,,17.169
2009,percentage,,mecklenburg western pomerania,code13,,,17.262
2013,percentage,,mecklenburg western pomerania,code13,,,17.324
2017,percentage,,mecklenburg western pomerania,code13,,,18.844
2021,percentage,,mecklenburg western pomerania,code13,,,19.044
2000,percentage,.,mecklenburg western pomerania,code13,,,
2001,percentage,.,mecklenburg western pomerania,code13,,,
2002,percentage,.,mecklenburg western pomerania,code13,,,
2004,percentage,.,mecklenburg western pomerania,code13,,,
2006,percentage,.,mecklenburg western pomerania,code13,,,
2007,percentage,.,mecklenburg western pomerania,code13,,,
2008,percentage,.,mecklenburg western pomerania,code13,,,
2010,percentage,.,mecklenburg western pomerania,code13,,,
2011,percentage,.,mecklenburg western pomerania,code13,,,
2012,percentage,.,mecklenburg western pomerania,code13,,,
2014,percentage,.,mecklenburg western pomerania,code13,,,
2015,percentage,.,mecklenburg western pomerania,code13,,,
2016,percentage,.,mecklenburg western pomerania,code13,,,
2018,percentage,.,mecklenburg western pomerania,code13,,,
2019,percentage,.,mecklenburg western pomerania,code13,,,
2020,percentage,.,mecklenburg western pomerania,code13,,,
1999,percentage,,lower saxony,code03,,,9.501
2003,percentage,,lower saxony,code03,,,10.482
2005,percentage,,lower saxony,code03,,,11.365
2009,percentage,,lower saxony,code03,,,12.761
2013,percentage,,lower saxony,code03,,,14.218
2017,percentage,,lower saxony,code03,,,15.244
2021,percentage,,lower saxony,code03,,,17.557
2000,percentage,.,lower saxony,code03,,,
2001,percentage,.,lower saxony,code03,,,
2002,percentage,.,lower saxony,code03,,,
2004,percentage,.,lower saxony,code03,,,
2006,percentage,.,lower saxony,code03,,,
2007,percentage,.,lower saxony,code03,,,
2008,percentage,.,lower saxony,code03,,,
2010,percentage,.,lower saxony,code03,,,
2011,percentage,.,lower saxony,code03,,,
2012,percentage,.,lower saxony,code03,,,
2014,percentage,.,lower saxony,code03,,,
2015,percentage,.,lower saxony,code03,,,
2016,percentage,.,lower saxony,code03,,,
2018,percentage,.,lower saxony,code03,,,
2019,percentage,.,lower saxony,code03,,,
2020,percentage,.,lower saxony,code03,,,
1999,percentage,,north rhine-westphalia,code05,,,10.394
2003,percentage,,north rhine-westphalia,code05,,,11.622
2005,percentage,,north rhine-westphalia,code05,,,12.575
2009,percentage,,north rhine-westphalia,code05,,,13.591
2013,percentage,,north rhine-westphalia,code05,,,14.865
2017,percentage,,north rhine-westphalia,code05,,,15.125
2021,percentage,,north rhine-westphalia,code05,,,16.485
2000,percentage,.,north rhine-westphalia,code05,,,
2001,percentage,.,north rhine-westphalia,code05,,,
2002,percentage,.,north rhine-westphalia,code05,,,
2004,percentage,.,north rhine-westphalia,code05,,,
2006,percentage,.,north rhine-westphalia,code05,,,
2007,percentage,.,north rhine-westphalia,code05,,,
2008,percentage,.,north rhine-westphalia,code05,,,
2010,percentage,.,north rhine-westphalia,code05,,,
2011,percentage,.,north rhine-westphalia,code05,,,
2012,percentage,.,north rhine-westphalia,code05,,,
2014,percentage,.,north rhine-westphalia,code05,,,
2015,percentage,.,north rhine-westphalia,code05,,,
2016,percentage,.,north rhine-westphalia,code05,,,
2018,percentage,.,north rhine-westphalia,code05,,,
2019,percentage,.,north rhine-westphalia,code05,,,
2020,percentage,.,north rhine-westphalia,code05,,,
1999,percentage,,rhineland palatinate,code07,,,11.101
2003,percentage,,rhineland palatinate,code07,,,12.228
2005,percentage,,rhineland palatinate,code07,,,13.218
2009,percentage,,rhineland palatinate,code07,,,14.015
2013,percentage,,rhineland palatinate,code07,,,15.185
2017,percentage,,rhineland palatinate,code07,,,16.103
2021,percentage,,rhineland palatinate,code07,,,16.857
2000,percentage,.,rhineland palatinate,code07,,,
2001,percentage,.,rhineland palatinate,code07,,,
2002,percentage,.,rhineland palatinate,code07,,,
2004,percentage,.,rhineland palatinate,code07,,,
2006,percentage,.,rhineland palatinate,code07,,,
2007,percentage,.,rhineland palatinate,code07,,,
2008,percentage,.,rhineland palatinate,code07,,,
2010,percentage,.,rhineland palatinate,code07,,,
2011,percentage,.,rhineland palatinate,code07,,,
2012,percentage,.,rhineland palatinate,code07,,,
2014,percentage,.,rhineland palatinate,code07,,,
2015,percentage,.,rhineland palatinate,code07,,,
2016,percentage,.,rhineland palatinate,code07,,,
2018,percentage,.,rhineland palatinate,code07,,,
2019,percentage,.,rhineland palatinate,code07,,,
2020,percentage,.,rhineland palatinate,code07,,,
1999,percentage,,saarland,code10,,,9.576
2003,percentage,,saarland,code10,,,10.306
2005,percentage,,saarland,code10,,,13.111
2009,percentage,,saarland,code10,,,14.111
2013,percentage,,saarland,code10,,,14.133
2017,percentage,,saarland,code10,,,14.688
2021,percentage,,saarland,code10,,,16.877
2000,percentage,.,saarland,code10,,,
2001,percentage,.,saarland,code10,,,
2002,percentage,.,saarland,code10,,,
2004,percentage,.,saarland,code10,,,
2006,percentage,.,saarland,code10,,,
2007,percentage,.,saarland,code10,,,
2008,percentage,.,saarland,code10,,,
2010,percentage,.,saarland,code10,,,
2011,percentage,.,saarland,code10,,,
2012,percentage,.,saarland,code10,,,
2014,percentage,.,saarland,code10,,,
2015,percentage,.,saarland,code10,,,
2016,percentage,.,saarland,code10,,,
2018,percentage,.,saarland,code10,,,
2019,percentage,.,saarland,code10,,,
2020,percentage,.,saarland,code10,,,
1999,percentage,,saxony,code14,,,11.838
2003,percentage,,saxony,code14,,,13.373
2005,percentage,,saxony,code14,,,13.693
2009,percentage,,saxony,code14,,,13.958
2013,percentage,,saxony,code14,,,14.286
2017,percentage,,saxony,code14,,,15.453
2021,percentage,,saxony,code14,,,14.805
2000,percentage,.,saxony,code14,,,
2001,percentage,.,saxony,code14,,,
2002,percentage,.,saxony,code14,,,
2004,percentage,.,saxony,code14,,,
2006,percentage,.,saxony,code14,,,
2007,percentage,.,saxony,code14,,,
2008,percentage,.,saxony,code14,,,
2010,percentage,.,saxony,code14,,,
2011,percentage,.,saxony,code14,,,
2012,percentage,.,saxony,code14,,,
2014,percentage,.,saxony,code14,,,
2015,percentage,.,saxony,code14,,,
2016,percentage,.,saxony,code14,,,
2018,percentage,.,saxony,code14,,,
2019,percentage,.,saxony,code14,,,
2020,percentage,.,saxony,code14,,,
1999,percentage,,saxony-anhalt,code15,,,13.139
2003,percentage,,saxony-anhalt,code15,,,15.012
2005,percentage,,saxony-anhalt,code15,,,15.935
2009,percentage,,saxony-anhalt,code15,,,16.266
2013,percentage,,saxony-anhalt,code15,,,17.149
2017,percentage,,saxony-anhalt,code15,,,17.6
2021,percentage,,saxony-anhalt,code15,,,16.545
2000,percentage,.,saxony-anhalt,code15,,,
2001,percentage,.,saxony-anhalt,code15,,,
2002,percentage,.,saxony-anhalt,code15,,,
2004,percentage,.,saxony-anhalt,code15,,,
2006,percentage,.,saxony-anhalt,code15,,,
2007,percentage,.,saxony-anhalt,code15,,,
2008,percentage,.,saxony-anhalt,code15,,,
2010,percentage,.,saxony-anhalt,code15,,,
2011,percentage,.,saxony-anhalt,code15,,,
2012,percentage,.,saxony-anhalt,code15,,,
2014,percentage,.,saxony-anhalt,code15,,,
2015,percentage,.,saxony-anhalt,code15,,,
2016,percentage,.,saxony-anhalt,code15,,,
2018,percentage,.,saxony-anhalt,code15,,,
2019,percentage,.,saxony-anhalt,code15,,,
2020,percentage,.,saxony-anhalt,code15,,,
1999,percentage,,schleswig-holstein,code01,,,9.248
2003,percentage,,schleswig-holstein,code01,,,10.295
2005,percentage,,schleswig-holstein,code01,,,11.306
2009,percentage,,schleswig-holstein,code01,,,12.144
2013,percentage,,schleswig-holstein,code01,,,13.323
2017,percentage,,schleswig-holstein,code01,,,14.359
2021,percentage,,schleswig-holstein,code01,,,16.693
2000,percentage,.,schleswig-holstein,code01,,,
2001,percentage,.,schleswig-holstein,code01,,,
2002,percentage,.,schleswig-holstein,code01,,,
2004,percentage,.,schleswig-holstein,code01,,,
2006,percentage,.,schleswig-holstein,code01,,,
2007,percentage,.,schleswig-holstein,code01,,,
2008,percentage,.,schleswig-holstein,code01,,,
2010,percentage,.,schleswig-holstein,code01,,,
2011,percentage,.,schleswig-holstein,code01,,,
2012,percentage,.,schleswig-holstein,code01,,,
2014,percentage,.,schleswig-holstein,code01,,,
2015,percentage,.,schleswig-holstein,code01,,,
2016,percentage,.,schleswig-holstein,code01,,,
2018,percentage,.,schleswig-holstein,code01,,,
2019,percentage,.,schleswig-holstein,code01,,,
2020,percentage,.,schleswig-holstein,code01,,,
1999,percentage,,thuringia,code16,,,13.768
2003,percentage,,thuringia,code16,,,13.159
2005,percentage,,thuringia,code16,,,14.527
2009,percentage,,thuringia,code16,,,14.922
2013,percentage,,thuringia,code16,,,15.39
2017,percentage,,thuringia,code16,,,17.726
2021,percentage,,thuringia,code16,,,17.051
2000,percentage,.,thuringia,code16,,,
2001,percentage,.,thuringia,code16,,,
2002,percentage,.,thuringia,code16,,,
2004,percentage,.,thuringia,code16,,,
2006,percentage,.,thuringia,code16,,,
2007,percentage,.,thuringia,code16,,,
2008,percentage,.,thuringia,code16,,,
2010,percentage,.,thuringia,code16,,,
2011,percentage,.,thuringia,code16,,,
2012,percentage,.,thuringia,code16,,,
2014,percentage,.,thuringia,code16,,,
2015,percentage,.,thuringia,code16,,,
2016,percentage,.,thuringia,code16,,,
2018,percentage,.,thuringia,code16,,,
2019,percentage,.,thuringia,code16,,,
2020,percentage,.,thuringia,code16,,,
1999,percentage,,,,18 to under 20 years,,
2003,percentage,.,,,18 to under 20 years,,
2005,percentage,,,,18 to under 20 years,,
2009,percentage,.,,,18 to under 20 years,,
2013,percentage,,,,18 to under 20 years,,3.473
2017,percentage,,,,18 to under 20 years,,4.241
2021,percentage,,,,18 to under 20 years,,5.504
2000,percentage,.,,,18 to under 20 years,,
2001,percentage,.,,,18 to under 20 years,,
2002,percentage,.,,,18 to under 20 years,,
2004,percentage,.,,,18 to under 20 years,,
2006,percentage,.,,,18 to under 20 years,,
2007,percentage,.,,,18 to under 20 years,,
2008,percentage,.,,,18 to under 20 years,,
2010,percentage,.,,,18 to under 20 years,,
2011,percentage,.,,,18 to under 20 years,,
2012,percentage,.,,,18 to under 20 years,,
2014,percentage,.,,,18 to under 20 years,,
2015,percentage,.,,,18 to under 20 years,,
2016,percentage,.,,,18 to under 20 years,,
2018,percentage,.,,,18 to under 20 years,,
2019,percentage,.,,,18 to under 20 years,,
2020,percentage,.,,,18 to under 20 years,,
1999,percentage,,,,20 to under 25 years,,
2003,percentage,.,,,20 to under 25 years,,
2005,percentage,,,,20 to under 25 years,,
2009,percentage,.,,,20 to under 25 years,,
2013,percentage,,,,20 to under 25 years,,5.597
2017,percentage,,,,20 to under 25 years,,6.013
2021,percentage,,,,20 to under 25 years,,6.35
2000,percentage,.,,,20 to under 25 years,,
2001,percentage,.,,,20 to under 25 years,,
2002,percentage,.,,,20 to under 25 years,,
2004,percentage,.,,,20 to under 25 years,,
2006,percentage,.,,,20 to under 25 years,,
2007,percentage,.,,,20 to under 25 years,,
2008,percentage,.,,,20 to under 25 years,,
2010,percentage,.,,,20 to under 25 years,,
2011,percentage,.,,,20 to under 25 years,,
2012,percentage,.,,,20 to under 25 years,,
2014,percentage,.,,,20 to under 25 years,,
2015,percentage,.,,,20 to under 25 years,,
2016,percentage,.,,,20 to under 25 years,,
2018,percentage,.,,,20 to under 25 years,,
2019,percentage,.,,,20 to under 25 years,,
2020,percentage,.,,,20 to under 25 years,,
1999,percentage,,,,25 to under 30 years,,
2003,percentage,.,,,25 to under 30 years,,
2005,percentage,,,,25 to under 30 years,,
2009,percentage,.,,,25 to under 30 years,,
2013,percentage,,,,25 to under 30 years,,8.023
2017,percentage,,,,25 to under 30 years,,9.416
2021,percentage,,,,25 to under 30 years,,10.863
2000,percentage,.,,,25 to under 30 years,,
2001,percentage,.,,,25 to under 30 years,,
2002,percentage,.,,,25 to under 30 years,,
2004,percentage,.,,,25 to under 30 years,,
2006,percentage,.,,,25 to under 30 years,,
2007,percentage,.,,,25 to under 30 years,,
2008,percentage,.,,,25 to under 30 years,,
2010,percentage,.,,,25 to under 30 years,,
2011,percentage,.,,,25 to under 30 years,,
2012,percentage,.,,,25 to under 30 years,,
2014,percentage,.,,,25 to under 30 years,,
2015,percentage,.,,,25 to under 30 years,,
2016,percentage,.,,,25 to under 30 years,,
2018,percentage,.,,,25 to under 30 years,,
2019,percentage,.,,,25 to under 30 years,,
2020,percentage,.,,,25 to under 30 years,,
1999,percentage,,,,30 to under 35 years,,
2003,percentage,.,,,30 to under 35 years,,
2005,percentage,,,,30 to under 35 years,,
2009,percentage,.,,,30 to under 35 years,,
2013,percentage,,,,30 to under 35 years,,10.891
2017,percentage,,,,30 to under 35 years,,11.866
2021,percentage,,,,30 to under 35 years,,13.96
2000,percentage,.,,,30 to under 35 years,,
2001,percentage,.,,,30 to under 35 years,,
2002,percentage,.,,,30 to under 35 years,,
2004,percentage,.,,,30 to under 35 years,,
2006,percentage,.,,,30 to under 35 years,,
2007,percentage,.,,,30 to under 35 years,,
2008,percentage,.,,,30 to under 35 years,,
2010,percentage,.,,,30 to under 35 years,,
2011,percentage,.,,,30 to under 35 years,,
2012,percentage,.,,,30 to under 35 years,,
2014,percentage,.,,,30 to under 35 years,,
2015,percentage,.,,,30 to under 35 years,,
2016,percentage,.,,,30 to under 35 years,,
2018,percentage,.,,,30 to under 35 years,,
2019,percentage,.,,,30 to under 35 years,,
2020,percentage,.,,,30 to under 35 years,,
1999,percentage,,,,35 to under 40 years,,
2003,percentage,.,,,35 to under 40 years,,
2005,percentage,,,,35 to under 40 years,,
2009,percentage,.,,,35 to under 40 years,,
2013,percentage,,,,35 to under 40 years,,12.713
2017,percentage,,,,35 to under 40 years,,13.308
2021,percentage,,,,35 to under 40 years,,14.524
2000,percentage,.,,,35 to under 40 years,,
2001,percentage,.,,,35 to under 40 years,,
2002,percentage,.,,,35 to under 40 years,,
2004,percentage,.,,,35 to under 40 years,,
2006,percentage,.,,,35 to under 40 years,,
2007,percentage,.,,,35 to under 40 years,,
2008,percentage,.,,,35 to under 40 years,,
2010,percentage,.,,,35 to under 40 years,,
2011,percentage,.,,,35 to under 40 years,,
2012,percentage,.,,,35 to under 40 years,,
2014,percentage,.,,,35 to under 40 years,,
2015,percentage,.,,,35 to under 40 years,,
2016,percentage,.,,,35 to under 40 years,,
2018,percentage,.,,,35 to under 40 years,,
2019,percentage,.,,,35 to under 40 years,,
2020,percentage,.,,,35 to under 40 years,,
1999,percentage,,,,40 to under 45 years,,
2003,percentage,.,,,40 to under 45 years,,
2005,percentage,,,,40 to under 45 years,,
2009,percentage,.,,,40 to under 45 years,,
2013,percentage,,,,40 to under 45 years,,14.255
2017,percentage,,,,40 to under 45 years,,15.673
2021,percentage,,,,40 to under 45 years,,16.489
2000,percentage,.,,,40 to under 45 years,,
2001,percentage,.,,,40 to under 45 years,,
2002,percentage,.,,,40 to under 45 years,,
2004,percentage,.,,,40 to under 45 years,,
2006,percentage,.,,,40 to under 45 years,,
2007,percentage,.,,,40 to under 45 years,,
2008,percentage,.,,,40 to under 45 years,,
2010,percentage,.,,,40 to under 45 years,,
2011,percentage,.,,,40 to under 45 years,,
2012,percentage,.,,,40 to under 45 years,,
2014,percentage,.,,,40 to under 45 years,,
2015,percentage,.,,,40 to under 45 years,,
2016,percentage,.,,,40 to under 45 years,,
2018,percentage,.,,,40 to under 45 years,,
2019,percentage,.,,,40 to under 45 years,,
2020,percentage,.,,,40 to under 45 years,,
1999,percentage,,,,45 to under 50 years,,
2003,percentage,.,,,45 to under 50 years,,
2005,percentage,,,,45 to under 50 years,,
2009,percentage,.,,,45 to under 50 years,,
2013,percentage,,,,45 to under 50 years,,15.221
2017,percentage,,,,45 to under 50 years,,16.237
2021,percentage,,,,45 to under 50 years,,19.794
2000,percentage,.,,,45 to under 50 years,,
2001,percentage,.,,,45 to under 50 years,,
2002,percentage,.,,,45 to under 50 years,,
2004,percentage,.,,,45 to under 50 years,,
2006,percentage,.,,,45 to under 50 years,,
2007,percentage,.,,,45 to under 50 years,,
2008,percentage,.,,,45 to under 50 years,,
2010,percentage,.,,,45 to under 50 years,,
2011,percentage,.,,,45 to under 50 years,,
2012,percentage,.,,,45 to under 50 years,,
2014,percentage,.,,,45 to under 50 years,,
2015,percentage,.,,,45 to under 50 years,,
2016,percentage,.,,,45 to under 50 years,,
2018,percentage,.,,,45 to under 50 years,,
2019,percentage,.,,,45 to under 50 years,,
2020,percentage,.,,,45 to under 50 years,,
1999,percentage,,,,50 to under 55 years,,
2003,percentage,.,,,50 to under 55 years,,
2005,percentage,,,,50 to under 55 years,,
2009,percentage,.,,,50 to under 55 years,,
2013,percentage,,,,50 to under 55 years,,17.709
2017,percentage,,,,50 to under 55 years,,17.994
2021,percentage,,,,50 to under 55 years,,18.834
2000,percentage,.,,,50 to under 55 years,,
2001,percentage,.,,,50 to under 55 years,,
2002,percentage,.,,,50 to under 55 years,,
2004,percentage,.,,,50 to under 55 years,,
2006,percentage,.,,,50 to under 55 years,,
2007,percentage,.,,,50 to under 55 years,,
2008,percentage,.,,,50 to under 55 years,,
2010,percentage,.,,,50 to under 55 years,,
2011,percentage,.,,,50 to under 55 years,,
2012,percentage,.,,,50 to under 55 years,,
2014,percentage,.,,,50 to under 55 years,,
2015,percentage,.,,,50 to under 55 years,,
2016,percentage,.,,,50 to under 55 years,,
2018,percentage,.,,,50 to under 55 years,,
2019,percentage,.,,,50 to under 55 years,,
2020,percentage,.,,,50 to under 55 years,,
1999,percentage,,,,55 to under 60 years,,
2003,percentage,.,,,55 to under 60 years,,
2005,percentage,,,,55 to under 60 years,,
2009,percentage,.,,,55 to under 60 years,,
2013,percentage,,,,55 to under 60 years,,19.977
2017,percentage,,,,55 to under 60 years,,19.669
2021,percentage,,,,55 to under 60 years,,19.644
2000,percentage,.,,,55 to under 60 years,,
2001,percentage,.,,,55 to under 60 years,,
2002,percentage,.,,,55 to under 60 years,,
2004,percentage,.,,,55 to under 60 years,,
2006,percentage,.,,,55 to under 60 years,,
2007,percentage,.,,,55 to under 60 years,,
2008,percentage,.,,,55 to under 60 years,,
2010,percentage,.,,,55 to under 60 years,,
2011,percentage,.,,,55 to under 60 years,,
2012,percentage,.,,,55 to under 60 years,,
2014,percentage,.,,,55 to under 60 years,,
2015,percentage,.,,,55 to under 60 years,,
2016,percentage,.,,,55 to under 60 years,,
2018,percentage,.,,,55 to under 60 years,,
2019,percentage,.,,,55 to under 60 years,,
2020,percentage,.,,,55 to under 60 years,,
1999,percentage,,,,60 to under 65 years,,
2003,percentage,.,,,60 to under 65 years,,
2005,percentage,,,,60 to under 65 years,,
2009,percentage,.,,,60 to under 65 years,,
2013,percentage,,,,60 to under 65 years,,22.704
2017,percentage,,,,60 to under 65 years,,21.982
2021,percentage,,,,60 to under 65 years,,21.094
2000,percentage,.,,,60 to under 65 years,,
2001,percentage,.,,,60 to under 65 years,,
2002,percentage,.,,,60 to under 65 years,,
2004,percentage,.,,,60 to under 65 years,,
2006,percentage,.,,,60 to under 65 years,,
2007,percentage,.,,,60 to under 65 years,,
2008,percentage,.,,,60 to under 65 years,,
2010,percentage,.,,,60 to under 65 years,,
2011,percentage,.,,,60 to under 65 years,,
2012,percentage,.,,,60 to under 65 years,,
2014,percentage,.,,,60 to under 65 years,,
2015,percentage,.,,,60 to under 65 years,,
2016,percentage,.,,,60 to under 65 years,,
2018,percentage,.,,,60 to under 65 years,,
2019,percentage,.,,,60 to under 65 years,,
2020,percentage,.,,,60 to under 65 years,,
1999,percentage,,,,65 to under 70 years,,
2003,percentage,.,,,65 to under 70 years,,
2005,percentage,,,,65 to under 70 years,,
2009,percentage,.,,,65 to under 70 years,,
2013,percentage,,,,65 to under 70 years,,21.943
2017,percentage,,,,65 to under 70 years,,23.506
2021,percentage,,,,65 to under 70 years,,21.126
2000,percentage,.,,,65 to under 70 years,,
2001,percentage,.,,,65 to under 70 years,,
2002,percentage,.,,,65 to under 70 years,,
2004,percentage,.,,,65 to under 70 years,,
2006,percentage,.,,,65 to under 70 years,,
