Year,Units,federal state,GeoCode,Value
2016,percentage,berlin,code11,3.42
2017,percentage,berlin,code11,3.42
2018,percentage,berlin,code11,3.51
2019,percentage,berlin,code11,3.34
2020,percentage,berlin,code11,3.32
2021,percentage,berlin,code11,3.35
2022,percentage,berlin,code11,3.23
1995,percentage,brandenburg,code12,1.33
1997,percentage,brandenburg,code12,1.44
1999,percentage,brandenburg,code12,1.55
2000,percentage,brandenburg,code12,1.44
2001,percentage,brandenburg,code12,1.44
2002,percentage,brandenburg,code12,1.36
2003,percentage,brandenburg,code12,1.18
2004,percentage,brandenburg,code12,1.24
2005,percentage,brandenburg,code12,1.18
2006,percentage,brandenburg,code12,1.23
2007,percentage,brandenburg,code12,1.23
2008,percentage,brandenburg,code12,1.32
2009,percentage,brandenburg,code12,1.4
2010,percentage,brandenburg,code12,1.43
2011,percentage,brandenburg,code12,1.66
2012,percentage,brandenburg,code12,1.65
2013,percentage,brandenburg,code12,1.55
2014,percentage,brandenburg,code12,1.58
2015,percentage,brandenburg,code12,1.67
2016,percentage,brandenburg,code12,1.73
2017,percentage,brandenburg,code12,1.71
2018,percentage,brandenburg,code12,1.7
2019,percentage,brandenburg,code12,1.82
2020,percentage,brandenburg,code12,1.83
2021,percentage,brandenburg,code12,1.72
2022,percentage,brandenburg,code12,1.69
1995,percentage,bremen,code04,2.84
1997,percentage,bremen,code04,2.01
1999,percentage,bremen,code04,2.11
2000,percentage,bremen,code04,2.12
2001,percentage,bremen,code04,2.12
2002,percentage,bremen,code04,2.26
2003,percentage,bremen,code04,2.63
2004,percentage,bremen,code04,2.64
2005,percentage,bremen,code04,2.17
2006,percentage,bremen,code04,2.2
2007,percentage,bremen,code04,2.17
2008,percentage,bremen,code04,2.41
2009,percentage,bremen,code04,2.65
2010,percentage,bremen,code04,2.67
2011,percentage,bremen,code04,2.76
2012,percentage,bremen,code04,2.65
2013,percentage,bremen,code04,2.75
2014,percentage,bremen,code04,2.86
2015,percentage,bremen,code04,2.86
2016,percentage,bremen,code04,2.9
2017,percentage,bremen,code04,2.82
2018,percentage,bremen,code04,2.88
2019,percentage,bremen,code04,3.01
2020,percentage,bremen,code04,3.7
2021,percentage,bremen,code04,3.18
2022,percentage,bremen,code04,3.19
1995,percentage,hamburg,code02,1.77
1997,percentage,hamburg,code02,1.77
1999,percentage,hamburg,code02,1.66
2000,percentage,hamburg,code02,1.68
2001,percentage,hamburg,code02,1.38
2002,percentage,hamburg,code02,1.35
2003,percentage,hamburg,code02,1.72
2004,percentage,hamburg,code02,1.62
2005,percentage,hamburg,code02,1.78
2006,percentage,hamburg,code02,1.85
2007,percentage,hamburg,code02,1.82
2008,percentage,hamburg,code02,1.93
2009,percentage,hamburg,code02,2.12
2010,percentage,hamburg,code02,2.11
2011,percentage,hamburg,code02,2.22
2012,percentage,hamburg,code02,2.27
2013,percentage,hamburg,code02,2.28
2014,percentage,hamburg,code02,2.37
2015,percentage,hamburg,code02,2.24
2016,percentage,hamburg,code02,2.27
2017,percentage,hamburg,code02,2.17
2018,percentage,hamburg,code02,2.22
2019,percentage,hamburg,code02,2.18
2020,percentage,hamburg,code02,2.25
2021,percentage,hamburg,code02,2.16
2022,percentage,hamburg,code02,2.08
1995,percentage,hesse,code06,2.13
1997,percentage,hesse,code06,2.11
1999,percentage,hesse,code06,2.38
2000,percentage,hesse,code06,2.46
2001,percentage,hesse,code06,2.31
2002,percentage,hesse,code06,2.36
2003,percentage,hesse,code06,2.47
2004,percentage,hesse,code06,2.45
2005,percentage,hesse,code06,2.47
2006,percentage,hesse,code06,2.56
2007,percentage,hesse,code06,2.51
2008,percentage,hesse,code06,2.71
2009,percentage,hesse,code06,2.97
2010,percentage,hesse,code06,2.99
2011,percentage,hesse,code06,2.88
2012,percentage,hesse,code06,3.02
2013,percentage,hesse,code06,2.82
2014,percentage,hesse,code06,2.88
2015,percentage,hesse,code06,2.84
2016,percentage,hesse,code06,2.85
2017,percentage,hesse,code06,2.94
2018,percentage,hesse,code06,3.02
2019,percentage,hesse,code06,3.11
2020,percentage,hesse,code06,3.06
2021,percentage,hesse,code06,3.09
2022,percentage,hesse,code06,3.1
1995,percentage,mecklenburg western pomerania,code13,0.94
1997,percentage,mecklenburg western pomerania,code13,0.96
1999,percentage,mecklenburg western pomerania,code13,1.02
2000,percentage,mecklenburg western pomerania,code13,1.05
2001,percentage,mecklenburg western pomerania,code13,1.18
2002,percentage,mecklenburg western pomerania,code13,1.21
2003,percentage,mecklenburg western pomerania,code13,1.36
2004,percentage,mecklenburg western pomerania,code13,1.4
2005,percentage,mecklenburg western pomerania,code13,1.48
2006,percentage,mecklenburg western pomerania,code13,1.43
2007,percentage,mecklenburg western pomerania,code13,1.4
2008,percentage,mecklenburg western pomerania,code13,1.54
2009,percentage,mecklenburg western pomerania,code13,1.84
2010,percentage,mecklenburg western pomerania,code13,1.99
2011,percentage,mecklenburg western pomerania,code13,2.05
2012,percentage,mecklenburg western pomerania,code13,2.11
2013,percentage,mecklenburg western pomerania,code13,1.82
2014,percentage,mecklenburg western pomerania,code13,1.86
2015,percentage,mecklenburg western pomerania,code13,1.87
2016,percentage,mecklenburg western pomerania,code13,1.85
2017,percentage,mecklenburg western pomerania,code13,1.79
2018,percentage,mecklenburg western pomerania,code13,1.81
2019,percentage,mecklenburg western pomerania,code13,1.81
2020,percentage,mecklenburg western pomerania,code13,1.8
2021,percentage,mecklenburg western pomerania,code13,1.77
2022,percentage,mecklenburg western pomerania,code13,1.72
1995,percentage,lower saxony,code03,1.7
1997,percentage,lower saxony,code03,1.72
1999,percentage,lower saxony,code03,2.26
2000,percentage,lower saxony,code03,2.29
2001,percentage,lower saxony,code03,2.43
2002,percentage,lower saxony,code03,2.56
2003,percentage,lower saxony,code03,2.83
2004,percentage,lower saxony,code03,2.77
2005,percentage,lower saxony,code03,2.22
2006,percentage,lower saxony,code03,2.17
2007,percentage,lower saxony,code03,2.39
2008,percentage,lower saxony,code03,2.53
2009,percentage,lower saxony,code03,2.61
2010,percentage,lower saxony,code03,2.53
2011,percentage,lower saxony,code03,2.7
2012,percentage,lower saxony,code03,2.76
2013,percentage,lower saxony,code03,2.83
2014,percentage,lower saxony,code03,2.84
2015,percentage,lower saxony,code03,3.39
2016,percentage,lower saxony,code03,3.27
2017,percentage,lower saxony,code03,3.12
2018,percentage,lower saxony,code03,3.13
2019,percentage,lower saxony,code03,3.14
2020,percentage,lower saxony,code03,3.07
2021,percentage,lower saxony,code03,2.72
2022,percentage,lower saxony,code03,2.69
1995,percentage,north rhine-westphalia,code05,1.57
1997,percentage,north rhine-westphalia,code05,1.61
1999,percentage,north rhine-westphalia,code05,1.72
2000,percentage,north rhine-westphalia,code05,1.78
2001,percentage,north rhine-westphalia,code05,1.71
2002,percentage,north rhine-westphalia,code05,1.76
2003,percentage,north rhine-westphalia,code05,1.75
2004,percentage,north rhine-westphalia,code05,1.72
2005,percentage,north rhine-westphalia,code05,1.75
2006,percentage,north rhine-westphalia,code05,1.78
2007,percentage,north rhine-westphalia,code05,1.73
2008,percentage,north rhine-westphalia,code05,1.82
2009,percentage,north rhine-westphalia,code05,1.97
2010,percentage,north rhine-westphalia,code05,1.99
2011,percentage,north rhine-westphalia,code05,2.0
2012,percentage,north rhine-westphalia,code05,2.09
2013,percentage,north rhine-westphalia,code05,1.98
2014,percentage,north rhine-westphalia,code05,2.03
2015,percentage,north rhine-westphalia,code05,1.99
2016,percentage,north rhine-westphalia,code05,2.03
2017,percentage,north rhine-westphalia,code05,2.13
2018,percentage,north rhine-westphalia,code05,2.19
2019,percentage,north rhine-westphalia,code05,2.16
2020,percentage,north rhine-westphalia,code05,2.19
2021,percentage,north rhine-westphalia,code05,2.21
2022,percentage,north rhine-westphalia,code05,2.22
1995,percentage,rhineland palatinate,code07,1.71
1997,percentage,rhineland palatinate,code07,2.0
1999,percentage,rhineland palatinate,code07,2.14
2000,percentage,rhineland palatinate,code07,2.22
2001,percentage,rhineland palatinate,code07,1.94
2002,percentage,rhineland palatinate,code07,1.92
2003,percentage,rhineland palatinate,code07,1.75
2004,percentage,rhineland palatinate,code07,1.71
2005,percentage,rhineland palatinate,code07,1.68
2006,percentage,rhineland palatinate,code07,1.77
2007,percentage,rhineland palatinate,code07,1.81
2008,percentage,rhineland palatinate,code07,1.91
2009,percentage,rhineland palatinate,code07,2.03
2010,percentage,rhineland palatinate,code07,2.05
2011,percentage,rhineland palatinate,code07,2.03
2012,percentage,rhineland palatinate,code07,2.05
2013,percentage,rhineland palatinate,code07,2.16
2014,percentage,rhineland palatinate,code07,2.16
2015,percentage,rhineland palatinate,code07,2.39
2016,percentage,rhineland palatinate,code07,2.47
2017,percentage,rhineland palatinate,code07,2.5
2018,percentage,rhineland palatinate,code07,2.56
2019,percentage,rhineland palatinate,code07,2.62
2020,percentage,rhineland palatinate,code07,2.56
2021,percentage,rhineland palatinate,code07,2.78
2022,percentage,rhineland palatinate,code07,2.81
1995,percentage,saarland,code10,0.88
1997,percentage,saarland,code10,0.95
1999,percentage,saarland,code10,0.96
2000,percentage,saarland,code10,0.97
2001,percentage,saarland,code10,1.04
2002,percentage,saarland,code10,1.02
2003,percentage,saarland,code10,1.06
2004,percentage,saarland,code10,1.05
2005,percentage,saarland,code10,1.03
2006,percentage,saarland,code10,1.0
2007,percentage,saarland,code10,1.04
2008,percentage,saarland,code10,1.12
2009,percentage,saarland,code10,1.26
2010,percentage,saarland,code10,1.3
2011,percentage,saarland,code10,1.48
2012,percentage,saarland,code10,1.47
2013,percentage,saarland,code10,1.46
2014,percentage,saarland,code10,1.42
2015,percentage,saarland,code10,1.57
2016,percentage,saarland,code10,1.56
2017,percentage,saarland,code10,1.76
2018,percentage,saarland,code10,1.75
2019,percentage,saarland,code10,1.91
2020,percentage,saarland,code10,1.94
2021,percentage,saarland,code10,1.95
2022,percentage,saarland,code10,1.92
1995,percentage,saxony,code14,1.87
1997,percentage,saxony,code14,2.1
1999,percentage,saxony,code14,2.32
2000,percentage,saxony,code14,2.42
2001,percentage,saxony,code14,2.41
2002,percentage,saxony,code14,2.4
2003,percentage,saxony,code14,2.25
2004,percentage,saxony,code14,2.2
2005,percentage,saxony,code14,2.38
2006,percentage,saxony,code14,2.32
2007,percentage,saxony,code14,2.6
2008,percentage,saxony,code14,2.8
2009,percentage,saxony,code14,2.74
2010,percentage,saxony,code14,2.79
2011,percentage,saxony,code14,2.8
2012,percentage,saxony,code14,2.8
2013,percentage,saxony,code14,2.76
2014,percentage,saxony,code14,2.64
2015,percentage,saxony,code14,2.73
2016,percentage,saxony,code14,2.74
2017,percentage,saxony,code14,2.81
2018,percentage,saxony,code14,2.89
2019,percentage,saxony,code14,3.0
2020,percentage,saxony,code14,3.02
2021,percentage,saxony,code14,3.09
2022,percentage,saxony,code14,3.02
1995,percentage,saxony-anhalt,code15,1.34
1997,percentage,saxony-anhalt,code15,1.28
1999,percentage,saxony-anhalt,code15,1.29
2000,percentage,saxony-anhalt,code15,1.4
2001,percentage,saxony-anhalt,code15,1.31
2002,percentage,saxony-anhalt,code15,1.24
2003,percentage,saxony-anhalt,code15,1.2
2004,percentage,saxony-anhalt,code15,1.16
2005,percentage,saxony-anhalt,code15,1.22
2006,percentage,saxony-anhalt,code15,1.2
2007,percentage,saxony-anhalt,code15,1.18
2008,percentage,saxony-anhalt,code15,1.2
2009,percentage,saxony-anhalt,code15,1.38
2010,percentage,saxony-anhalt,code15,1.41
2011,percentage,saxony-anhalt,code15,1.48
2012,percentage,saxony-anhalt,code15,1.4
2013,percentage,saxony-anhalt,code15,1.42
2014,percentage,saxony-anhalt,code15,1.45
2015,percentage,saxony-anhalt,code15,1.41
2016,percentage,saxony-anhalt,code15,1.46
2017,percentage,saxony-anhalt,code15,1.52
2018,percentage,saxony-anhalt,code15,1.59
2019,percentage,saxony-anhalt,code15,1.54
2020,percentage,saxony-anhalt,code15,1.58
2021,percentage,saxony-anhalt,code15,1.59
2022,percentage,saxony-anhalt,code15,1.58
1995,percentage,schleswig-holstein,code01,1.08
1997,percentage,schleswig-holstein,code01,1.06
1999,percentage,schleswig-holstein,code01,1.08
2000,percentage,schleswig-holstein,code01,1.09
2001,percentage,schleswig-holstein,code01,1.14
2002,percentage,schleswig-holstein,code01,1.21
2003,percentage,schleswig-holstein,code01,1.15
2004,percentage,schleswig-holstein,code01,1.09
2005,percentage,schleswig-holstein,code01,1.15
2006,percentage,schleswig-holstein,code01,1.21
2007,percentage,schleswig-holstein,code01,1.19
2008,percentage,schleswig-holstein,code01,1.24
2009,percentage,schleswig-holstein,code01,1.3
2010,percentage,schleswig-holstein,code01,1.32
2011,percentage,schleswig-holstein,code01,1.42
2012,percentage,schleswig-holstein,code01,1.45
2013,percentage,schleswig-holstein,code01,1.5
2014,percentage,schleswig-holstein,code01,1.55
2015,percentage,schleswig-holstein,code01,1.5
2016,percentage,schleswig-holstein,code01,1.53
2017,percentage,schleswig-holstein,code01,1.58
2018,percentage,schleswig-holstein,code01,1.64
2019,percentage,schleswig-holstein,code01,1.68
2020,percentage,schleswig-holstein,code01,1.62
2021,percentage,schleswig-holstein,code01,1.68
2022,percentage,schleswig-holstein,code01,1.68
1995,percentage,thuringia,code16,1.58
1997,percentage,thuringia,code16,1.72
1999,percentage,thuringia,code16,1.63
2000,percentage,thuringia,code16,1.73
2001,percentage,thuringia,code16,2.07
2002,percentage,thuringia,code16,2.16
2003,percentage,thuringia,code16,1.92
2004,percentage,thuringia,code16,1.92
2005,percentage,thuringia,code16,1.9
2006,percentage,thuringia,code16,1.91
2007,percentage,thuringia,code16,1.89
2008,percentage,thuringia,code16,2.05
2009,percentage,thuringia,code16,2.19
2010,percentage,thuringia,code16,2.18
2011,percentage,thuringia,code16,2.14
2012,percentage,thuringia,code16,2.2
2013,percentage,thuringia,code16,2.17
2014,percentage,thuringia,code16,2.13
2015,percentage,thuringia,code16,2.05
2016,percentage,thuringia,code16,2.07
2017,percentage,thuringia,code16,2.23
2018,percentage,thuringia,code16,2.29
2019,percentage,thuringia,code16,2.35
2020,percentage,thuringia,code16,2.45
2021,percentage,thuringia,code16,2.74
2022,percentage,thuringia,code16,2.76
