Year,Units,Series,Sex,Federal state,GeoCode,Value
2002,Percentage,Foreigns,,Baden-Wuerttemberg,code08,80.3
2003,Percentage,Foreigns,,Baden-Wuerttemberg,code08,81.5
2004,Percentage,Foreigns,,Baden-Wuerttemberg,code08,82.5
2005,Percentage,Foreigns,,Baden-Wuerttemberg,code08,83.3
2006,Percentage,Foreigns,,Baden-Wuerttemberg,code08,83.9
2007,Percentage,Foreigns,,Baden-Wuerttemberg,code08,84.9
2008,Percentage,Foreigns,,Baden-Wuerttemberg,code08,86.3
2009,Percentage,Foreigns,,Baden-Wuerttemberg,code08,87.2
2010,Percentage,Foreigns,,Baden-Wuerttemberg,code08,88.3
2011,Percentage,Foreigns,,Baden-Wuerttemberg,code08,88.7
2012,Percentage,Foreigns,,Baden-Wuerttemberg,code08,88.0
2013,Percentage,Foreigns,,Baden-Wuerttemberg,code08,90.0
2014,Percentage,Foreigns,,Baden-Wuerttemberg,code08,89.1
2015,Percentage,Foreigns,,Baden-Wuerttemberg,code08,90.1
2016,Percentage,Foreigns,,Baden-Wuerttemberg,code08,87.8
2017,Percentage,Foreigns,,Baden-Wuerttemberg,code08,80.6
2018,Percentage,Foreigns,,Baden-Wuerttemberg,code08,81.5
2019,Percentage,Foreigns,,Baden-Wuerttemberg,code08,84.1
2020,Percentage,Foreigns,,Baden-Wuerttemberg,code08,85.5
2021,Percentage,Foreigns,,Baden-Wuerttemberg,code08,84.46
2022,Percentage,Foreigns,,Baden-Wuerttemberg,code08,82.944
2023,Percentage,Foreigns,,Baden-Wuerttemberg,code08,82.167
1996,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.1
1997,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.4
1998,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.6
1999,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,85.0
2000,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.7
2001,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.4
2002,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.0
2003,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,85.6
2004,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,86.2
2005,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,87.5
2006,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,87.0
2007,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,87.6
2008,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,88.8
2009,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,89.4
2010,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,89.8
2011,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,90.6
2012,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,89.7
2013,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,91.4
2014,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,90.3
2015,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,91.5
2016,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,89.7
2017,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,85.5
2018,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,87.0
2019,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,88.1
2020,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,87.7
2021,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,87.75
2022,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,85.286
2023,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.074
1996,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,76.3
1997,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,76.6
1998,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,78.0
1999,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,77.2
2000,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,75.9
2001,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,75.8
2002,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,76.9
2003,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,77.7
2004,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,79.1
2005,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,79.5
2006,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,81.1
2007,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,82.5
2008,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,84.0
2009,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,85.1
2010,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,86.9
2011,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,86.9
2012,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,86.3
2013,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,88.7
2014,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,88.0
2015,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,88.7
2016,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,86.1
2017,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,76.5
2018,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,78.2
2019,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,81.7
2020,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,83.2
2021,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,81.553
2022,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,80.838
2023,Percentage,Foreigns,Male,Baden-Wuerttemberg,code08,80.579
1996,Percentage,Foreigns,,Bavaria,code09,74.8
1997,Percentage,Foreigns,,Bavaria,code09,74.8
1998,Percentage,Foreigns,,Bavaria,code09,72.8
1999,Percentage,Foreigns,,Bavaria,code09,74.6
2000,Percentage,Foreigns,,Bavaria,code09,74.7
2001,Percentage,Foreigns,,Bavaria,code09,72.1
2002,Percentage,Foreigns,,Bavaria,code09,75.7
2003,Percentage,Foreigns,,Bavaria,code09,77.7
2004,Percentage,Foreigns,,Bavaria,code09,78.5
2005,Percentage,Foreigns,,Bavaria,code09,80.0
2006,Percentage,Foreigns,,Bavaria,code09,81.9
2007,Percentage,Foreigns,,Bavaria,code09,83.4
2008,Percentage,Foreigns,,Bavaria,code09,84.4
2009,Percentage,Foreigns,,Bavaria,code09,85.4
2010,Percentage,Foreigns,,Bavaria,code09,87.4
2011,Percentage,Foreigns,,Bavaria,code09,89.4
2012,Percentage,Foreigns,,Bavaria,code09,88.5
2013,Percentage,Foreigns,,Bavaria,code09,89.1
2014,Percentage,Foreigns,,Bavaria,code09,88.3
2015,Percentage,Foreigns,,Bavaria,code09,86.5
2016,Percentage,Foreigns,,Bavaria,code09,81.6
2017,Percentage,Foreigns,,Bavaria,code09,79.0
2018,Percentage,Foreigns,,Bavaria,code09,81.2
2019,Percentage,Foreigns,,Bavaria,code09,82.2
2020,Percentage,Foreigns,,Bavaria,code09,84.4
2021,Percentage,Foreigns,,Bavaria,code09,84.84
2022,Percentage,Foreigns,,Bavaria,code09,86.702
2023,Percentage,Foreigns,,Bavaria,code09,85.932
1996,Percentage,Foreigns,Female,Bavaria,code09,80.1
1997,Percentage,Foreigns,Female,Bavaria,code09,80.3
1998,Percentage,Foreigns,Female,Bavaria,code09,76.8
1999,Percentage,Foreigns,Female,Bavaria,code09,79.6
2000,Percentage,Foreigns,Female,Bavaria,code09,80.2
2001,Percentage,Foreigns,Female,Bavaria,code09,78.4
2002,Percentage,Foreigns,Female,Bavaria,code09,80.9
2003,Percentage,Foreigns,Female,Bavaria,code09,82.0
2004,Percentage,Foreigns,Female,Bavaria,code09,83.3
2005,Percentage,Foreigns,Female,Bavaria,code09,84.0
2006,Percentage,Foreigns,Female,Bavaria,code09,85.7
2007,Percentage,Foreigns,Female,Bavaria,code09,87.1
2008,Percentage,Foreigns,Female,Bavaria,code09,87.6
2009,Percentage,Foreigns,Female,Bavaria,code09,88.0
2010,Percentage,Foreigns,Female,Bavaria,code09,89.9
2011,Percentage,Foreigns,Female,Bavaria,code09,91.6
2012,Percentage,Foreigns,Female,Bavaria,code09,90.9
2013,Percentage,Foreigns,Female,Bavaria,code09,91.6
2014,Percentage,Foreigns,Female,Bavaria,code09,90.9
2015,Percentage,Foreigns,Female,Bavaria,code09,90.0
2016,Percentage,Foreigns,Female,Bavaria,code09,88.6
2017,Percentage,Foreigns,Female,Bavaria,code09,86.0
2018,Percentage,Foreigns,Female,Bavaria,code09,85.7
2019,Percentage,Foreigns,Female,Bavaria,code09,86.6
2020,Percentage,Foreigns,Female,Bavaria,code09,87.4
2021,Percentage,Foreigns,Female,Bavaria,code09,88.397
2022,Percentage,Foreigns,Female,Bavaria,code09,89.926
2023,Percentage,Foreigns,Female,Bavaria,code09,89.15
1996,Percentage,Foreigns,Male,Bavaria,code09,70.1
1997,Percentage,Foreigns,Male,Bavaria,code09,69.6
1998,Percentage,Foreigns,Male,Bavaria,code09,69.1
1999,Percentage,Foreigns,Male,Bavaria,code09,70.0
2000,Percentage,Foreigns,Male,Bavaria,code09,69.6
2001,Percentage,Foreigns,Male,Bavaria,code09,66.2
2002,Percentage,Foreigns,Male,Bavaria,code09,70.7
2003,Percentage,Foreigns,Male,Bavaria,code09,73.8
2004,Percentage,Foreigns,Male,Bavaria,code09,74.1
2005,Percentage,Foreigns,Male,Bavaria,code09,76.3
2006,Percentage,Foreigns,Male,Bavaria,code09,78.2
2007,Percentage,Foreigns,Male,Bavaria,code09,79.9
2008,Percentage,Foreigns,Male,Bavaria,code09,81.4
2009,Percentage,Foreigns,Male,Bavaria,code09,82.8
2010,Percentage,Foreigns,Male,Bavaria,code09,84.9
2011,Percentage,Foreigns,Male,Bavaria,code09,87.3
2012,Percentage,Foreigns,Male,Bavaria,code09,86.3
2013,Percentage,Foreigns,Male,Bavaria,code09,86.8
2014,Percentage,Foreigns,Male,Bavaria,code09,85.9
2015,Percentage,Foreigns,Male,Bavaria,code09,83.5
2016,Percentage,Foreigns,Male,Bavaria,code09,76.0
2017,Percentage,Foreigns,Male,Bavaria,code09,73.4
2018,Percentage,Foreigns,Male,Bavaria,code09,77.8
2019,Percentage,Foreigns,Male,Bavaria,code09,78.5
2020,Percentage,Foreigns,Male,Bavaria,code09,81.8
2021,Percentage,Foreigns,Male,Bavaria,code09,81.585
2022,Percentage,Foreigns,Male,Bavaria,code09,83.801
2023,Percentage,Foreigns,Male,Bavaria,code09,83.114
1996,Percentage,Foreigns,,Berlin,code11,73.3
1997,Percentage,Foreigns,,Berlin,code11,73.0
1998,Percentage,Foreigns,,Berlin,code11,69.4
1999,Percentage,Foreigns,,Berlin,code11,72.4
2000,Percentage,Foreigns,,Berlin,code11,74.4
2001,Percentage,Foreigns,,Berlin,code11,76.0
2002,Percentage,Foreigns,,Berlin,code11,75.9
2003,Percentage,Foreigns,,Berlin,code11,74.1
2004,Percentage,Foreigns,,Berlin,code11,77.1
2005,Percentage,Foreigns,,Berlin,code11,77.9
2006,Percentage,Foreigns,,Berlin,code11,79.3
2007,Percentage,Foreigns,,Berlin,code11,79.6
2008,Percentage,Foreigns,,Berlin,code11,80.3
2009,Percentage,Foreigns,,Berlin,code11,83.6
2010,Percentage,Foreigns,,Berlin,code11,82.9
2011,Percentage,Foreigns,,Berlin,code11,84.7
2012,Percentage,Foreigns,,Berlin,code11,87.4
2013,Percentage,Foreigns,,Berlin,code11,87.5
2014,Percentage,Foreigns,,Berlin,code11,83.5
2015,Percentage,Foreigns,,Berlin,code11,78.7
2016,Percentage,Foreigns,,Berlin,code11,81.0
2017,Percentage,Foreigns,,Berlin,code11,79.2
2018,Percentage,Foreigns,,Berlin,code11,78.3
2019,Percentage,Foreigns,,Berlin,code11,81.1
2020,Percentage,Foreigns,,Berlin,code11,92.8
2021,Percentage,Foreigns,,Berlin,code11,84.313
1996,Percentage,Foreigns,Female,Berlin,code11,79.8
1997,Percentage,Foreigns,Female,Berlin,code11,78.3
1998,Percentage,Foreigns,Female,Berlin,code11,76.2
1999,Percentage,Foreigns,Female,Berlin,code11,78.4
2000,Percentage,Foreigns,Female,Berlin,code11,78.1
2001,Percentage,Foreigns,Female,Berlin,code11,81.0
2002,Percentage,Foreigns,Female,Berlin,code11,79.4
2003,Percentage,Foreigns,Female,Berlin,code11,79.6
2004,Percentage,Foreigns,Female,Berlin,code11,81.3
2005,Percentage,Foreigns,Female,Berlin,code11,83.0
2006,Percentage,Foreigns,Female,Berlin,code11,83.6
2007,Percentage,Foreigns,Female,Berlin,code11,82.5
2008,Percentage,Foreigns,Female,Berlin,code11,84.4
2009,Percentage,Foreigns,Female,Berlin,code11,85.8
2010,Percentage,Foreigns,Female,Berlin,code11,86.2
2011,Percentage,Foreigns,Female,Berlin,code11,87.9
2012,Percentage,Foreigns,Female,Berlin,code11,89.2
2013,Percentage,Foreigns,Female,Berlin,code11,89.6
2014,Percentage,Foreigns,Female,Berlin,code11,85.6
2015,Percentage,Foreigns,Female,Berlin,code11,82.4
2016,Percentage,Foreigns,Female,Berlin,code11,83.3
2017,Percentage,Foreigns,Female,Berlin,code11,82.4
2018,Percentage,Foreigns,Female,Berlin,code11,83.0
2019,Percentage,Foreigns,Female,Berlin,code11,85.3
2020,Percentage,Foreigns,Female,Berlin,code11,85.7
2021,Percentage,Foreigns,Female,Berlin,code11,85.722
1996,Percentage,Foreigns,Male,Berlin,code11,67.5
1997,Percentage,Foreigns,Male,Berlin,code11,68.7
1998,Percentage,Foreigns,Male,Berlin,code11,63.8
1999,Percentage,Foreigns,Male,Berlin,code11,67.5
2000,Percentage,Foreigns,Male,Berlin,code11,71.1
2001,Percentage,Foreigns,Male,Berlin,code11,71.3
2002,Percentage,Foreigns,Male,Berlin,code11,72.9
2003,Percentage,Foreigns,Male,Berlin,code11,69.5
2004,Percentage,Foreigns,Male,Berlin,code11,73.4
2005,Percentage,Foreigns,Male,Berlin,code11,73.4
2006,Percentage,Foreigns,Male,Berlin,code11,75.3
2007,Percentage,Foreigns,Male,Berlin,code11,76.8
2008,Percentage,Foreigns,Male,Berlin,code11,76.5
2009,Percentage,Foreigns,Male,Berlin,code11,81.5
2010,Percentage,Foreigns,Male,Berlin,code11,79.9
2011,Percentage,Foreigns,Male,Berlin,code11,81.6
2012,Percentage,Foreigns,Male,Berlin,code11,85.5
2013,Percentage,Foreigns,Male,Berlin,code11,85.4
2014,Percentage,Foreigns,Male,Berlin,code11,81.5
2015,Percentage,Foreigns,Male,Berlin,code11,75.2
2016,Percentage,Foreigns,Male,Berlin,code11,79.1
2017,Percentage,Foreigns,Male,Berlin,code11,76.3
2018,Percentage,Foreigns,Male,Berlin,code11,74.4
2019,Percentage,Foreigns,Male,Berlin,code11,77.5
2020,Percentage,Foreigns,Male,Berlin,code11,90.6
2021,Percentage,Foreigns,Male,Berlin,code11,83.07
1996,Percentage,Foreigns,,Brandenburg,code12,95.8
1997,Percentage,Foreigns,,Brandenburg,code12,92.7
1998,Percentage,Foreigns,,Brandenburg,code12,91.1
1999,Percentage,Foreigns,,Brandenburg,code12,91.0
2000,Percentage,Foreigns,,Brandenburg,code12,90.3
2001,Percentage,Foreigns,,Brandenburg,code12,92.4
2002,Percentage,Foreigns,,Brandenburg,code12,94.4
2003,Percentage,Foreigns,,Brandenburg,code12,90.0
2004,Percentage,Foreigns,,Brandenburg,code12,93.2
2005,Percentage,Foreigns,,Brandenburg,code12,86.3
2006,Percentage,Foreigns,,Brandenburg,code12,86.6
2007,Percentage,Foreigns,,Brandenburg,code12,90.5
2008,Percentage,Foreigns,,Brandenburg,code12,91.6
2009,Percentage,Foreigns,,Brandenburg,code12,94.9
2010,Percentage,Foreigns,,Brandenburg,code12,93.3
2011,Percentage,Foreigns,,Brandenburg,code12,92.9
2012,Percentage,Foreigns,,Brandenburg,code12,94.3
2013,Percentage,Foreigns,,Brandenburg,code12,94.0
2014,Percentage,Foreigns,,Brandenburg,code12,94.7
2015,Percentage,Foreigns,,Brandenburg,code12,94.5
2016,Percentage,Foreigns,,Brandenburg,code12,82.7
2017,Percentage,Foreigns,,Brandenburg,code12,82.7
2018,Percentage,Foreigns,,Brandenburg,code12,81.0
2019,Percentage,Foreigns,,Brandenburg,code12,83.9
2020,Percentage,Foreigns,,Brandenburg,code12,95.2
2021,Percentage,Foreigns,,Brandenburg,code12,91.35
2022,Percentage,Foreigns,,Brandenburg,code12,88.53
2023,Percentage,Foreigns,,Brandenburg,code12,86.104
1996,Percentage,Foreigns,Female,Brandenburg,code12,100.0
1997,Percentage,Foreigns,Female,Brandenburg,code12,97.8
1998,Percentage,Foreigns,Female,Brandenburg,code12,94.3
1999,Percentage,Foreigns,Female,Brandenburg,code12,94.7
2000,Percentage,Foreigns,Female,Brandenburg,code12,92.9
2001,Percentage,Foreigns,Female,Brandenburg,code12,98.6
2002,Percentage,Foreigns,Female,Brandenburg,code12,97.7
2003,Percentage,Foreigns,Female,Brandenburg,code12,96.1
2004,Percentage,Foreigns,Female,Brandenburg,code12,96.2
2005,Percentage,Foreigns,Female,Brandenburg,code12,91.8
2006,Percentage,Foreigns,Female,Brandenburg,code12,89.9
2007,Percentage,Foreigns,Female,Brandenburg,code12,95.2
2008,Percentage,Foreigns,Female,Brandenburg,code12,95.0
2009,Percentage,Foreigns,Female,Brandenburg,code12,97.2
2010,Percentage,Foreigns,Female,Brandenburg,code12,95.8
2011,Percentage,Foreigns,Female,Brandenburg,code12,94.7
2012,Percentage,Foreigns,Female,Brandenburg,code12,98.2
2013,Percentage,Foreigns,Female,Brandenburg,code12,97.8
2014,Percentage,Foreigns,Female,Brandenburg,code12,97.3
2015,Percentage,Foreigns,Female,Brandenburg,code12,95.9
2016,Percentage,Foreigns,Female,Brandenburg,code12,90.4
2017,Percentage,Foreigns,Female,Brandenburg,code12,87.8
2018,Percentage,Foreigns,Female,Brandenburg,code12,83.7
2019,Percentage,Foreigns,Female,Brandenburg,code12,86.2
2020,Percentage,Foreigns,Female,Brandenburg,code12,94.9
2021,Percentage,Foreigns,Female,Brandenburg,code12,93.573
2022,Percentage,Foreigns,Female,Brandenburg,code12,92.27
2023,Percentage,Foreigns,Female,Brandenburg,code12,89.102
1996,Percentage,Foreigns,Male,Brandenburg,code12,91.7
1997,Percentage,Foreigns,Male,Brandenburg,code12,87.2
1998,Percentage,Foreigns,Male,Brandenburg,code12,87.4
1999,Percentage,Foreigns,Male,Brandenburg,code12,87.2
2000,Percentage,Foreigns,Male,Brandenburg,code12,87.2
2001,Percentage,Foreigns,Male,Brandenburg,code12,83.7
2002,Percentage,Foreigns,Male,Brandenburg,code12,91.1
2003,Percentage,Foreigns,Male,Brandenburg,code12,83.7
2004,Percentage,Foreigns,Male,Brandenburg,code12,90.1
2005,Percentage,Foreigns,Male,Brandenburg,code12,80.9
2006,Percentage,Foreigns,Male,Brandenburg,code12,83.4
2007,Percentage,Foreigns,Male,Brandenburg,code12,84.0
2008,Percentage,Foreigns,Male,Brandenburg,code12,87.8
2009,Percentage,Foreigns,Male,Brandenburg,code12,92.3
2010,Percentage,Foreigns,Male,Brandenburg,code12,90.6
2011,Percentage,Foreigns,Male,Brandenburg,code12,91.3
2012,Percentage,Foreigns,Male,Brandenburg,code12,90.8
2013,Percentage,Foreigns,Male,Brandenburg,code12,90.1
2014,Percentage,Foreigns,Male,Brandenburg,code12,92.5
2015,Percentage,Foreigns,Male,Brandenburg,code12,93.3
2016,Percentage,Foreigns,Male,Brandenburg,code12,75.6
2017,Percentage,Foreigns,Male,Brandenburg,code12,79.5
2018,Percentage,Foreigns,Male,Brandenburg,code12,79.4
2019,Percentage,Foreigns,Male,Brandenburg,code12,82.6
2020,Percentage,Foreigns,Male,Brandenburg,code12,95.4
2021,Percentage,Foreigns,Male,Brandenburg,code12,89.689
2022,Percentage,Foreigns,Male,Brandenburg,code12,85.239
2023,Percentage,Foreigns,Male,Brandenburg,code12,83.835
1996,Percentage,Foreigns,,Bremen,code04,77.6
1997,Percentage,Foreigns,,Bremen,code04,82.4
1998,Percentage,Foreigns,,Bremen,code04,82.4
1999,Percentage,Foreigns,,Bremen,code04,83.8
2000,Percentage,Foreigns,,Bremen,code04,80.0
2001,Percentage,Foreigns,,Bremen,code04,81.1
2002,Percentage,Foreigns,,Bremen,code04,85.7
2003,Percentage,Foreigns,,Bremen,code04,81.7
2004,Percentage,Foreigns,,Bremen,code04,82.2
2005,Percentage,Foreigns,,Bremen,code04,83.4
2006,Percentage,Foreigns,,Bremen,code04,85.4
2007,Percentage,Foreigns,,Bremen,code04,84.1
2008,Percentage,Foreigns,,Bremen,code04,88.4
2009,Percentage,Foreigns,,Bremen,code04,89.1
2010,Percentage,Foreigns,,Bremen,code04,90.1
2011,Percentage,Foreigns,,Bremen,code04,87.3
2012,Percentage,Foreigns,,Bremen,code04,91.2
2013,Percentage,Foreigns,,Bremen,code04,87.3
2014,Percentage,Foreigns,,Bremen,code04,90.0
2015,Percentage,Foreigns,,Bremen,code04,89.5
2016,Percentage,Foreigns,,Bremen,code04,84.6
2017,Percentage,Foreigns,,Bremen,code04,78.7
2018,Percentage,Foreigns,,Bremen,code04,79.7
2019,Percentage,Foreigns,,Bremen,code04,73.9
2020,Percentage,Foreigns,,Bremen,code04,76.4
2021,Percentage,Foreigns,,Bremen,code04,77.973
2022,Percentage,Foreigns,,Bremen,code04,75.097
2023,Percentage,Foreigns,,Bremen,code04,75.875
1996,Percentage,Foreigns,Female,Bremen,code04,81.0
1997,Percentage,Foreigns,Female,Bremen,code04,86.9
1998,Percentage,Foreigns,Female,Bremen,code04,84.8
1999,Percentage,Foreigns,Female,Bremen,code04,88.4
2000,Percentage,Foreigns,Female,Bremen,code04,84.3
2001,Percentage,Foreigns,Female,Bremen,code04,86.7
2002,Percentage,Foreigns,Female,Bremen,code04,88.6
2003,Percentage,Foreigns,Female,Bremen,code04,82.7
2004,Percentage,Foreigns,Female,Bremen,code04,85.8
2005,Percentage,Foreigns,Female,Bremen,code04,88.1
2006,Percentage,Foreigns,Female,Bremen,code04,90.9
2007,Percentage,Foreigns,Female,Bremen,code04,86.8
2008,Percentage,Foreigns,Female,Bremen,code04,90.9
2009,Percentage,Foreigns,Female,Bremen,code04,91.2
2010,Percentage,Foreigns,Female,Bremen,code04,92.4
2011,Percentage,Foreigns,Female,Bremen,code04,91.4
