Year,Units,display,title,sex,Bundesland,GeoCode,Value
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,code04,41.8
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,code04,44.3
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,code04,53.4
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,code04,50.5
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,code04,46.6
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,code02,52.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,code02,55.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,code02,54.4
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,code02,55.4
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,code02,58.5
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,code02,60.6
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,code02,60.0
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,code06,45.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,code06,46.1
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,code06,47.2
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,code06,47.6
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,code06,46.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,code06,49.4
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,code06,50.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,code13,33.2
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,code13,32.1
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,code13,30.8
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,code13,33.2
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,code13,35.4
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,code13,34.8
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,code13,32.7
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,code03,36.2
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,code03,37.5
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,code03,38.1
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,code03,37.9
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,code03,40.1
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,code03,43.2
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,code03,41.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,code05,41.3
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,code05,42.0
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,code05,44.4
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,code05,45.0
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,code05,47.8
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,code05,48.7
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,code05,50.3
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,code07,38.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,code07,40.0
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,code07,42.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,code07,41.9
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,code07,43.7
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,code07,42.6
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,code07,44.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,code10,32.9
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,code10,34.8
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,code10,38.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,code10,35.7
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,code10,35.8
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,code10,40.2
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,code10,41.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,code14,46.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,code14,44.0
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,code14,42.7
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,code14,45.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,code14,46.2
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,code14,48.3
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,code14,46.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,code15,32.2
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,code15,31.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,code15,30.9
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,code15,30.6
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,code15,32.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,code15,34.2
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,code15,33.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,code01,35.8
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,code01,40.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,code01,37.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,code01,38.2
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,code01,38.9
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,code01,39.7
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,code01,40.1
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,code16,36.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,code16,37.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,code16,39.1
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,code16,39.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,code16,37.6
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,code16,36.9
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,code16,40.3
1999,percentage (%),a) time series,tertiary education,male and female,,,24.8
2000,percentage (%),a) time series,tertiary education,male and female,,,25.3
2001,percentage (%),a) time series,tertiary education,male and female,,,25.1
2002,percentage (%),a) time series,tertiary education,male and female,,,25.1
2003,percentage (%),a) time series,tertiary education,male and female,,,25.0
2004,percentage (%),a) time series,tertiary education,male and female,,,26.8
2005,percentage (%),a) time series,tertiary education,male and female,,,26.1
2006,percentage (%),a) time series,tertiary education,male and female,,,25.8
2007,percentage (%),a) time series,tertiary education,male and female,,,26.5
2008,percentage (%),a) time series,tertiary education,male and female,,,27.6
2009,percentage (%),a) time series,tertiary education,male and female,,,29.4
2010,percentage (%),a) time series,tertiary education,male and female,,,29.8
2011,percentage (%),a) time series,tertiary education,male and female,,,30.7
2012,percentage (%),a) time series,tertiary education,male and female,,,31.9
2013,percentage (%),a) time series,tertiary education,male and female,,,33.1
2014,percentage (%),a) time series,tertiary education,male and female,,,31.4
2015,percentage (%),a) time series,tertiary education,male and female,,,32.3
2016,percentage (%),a) time series,tertiary education,male and female,,,33.1
2017,percentage (%),a) time series,tertiary education,male and female,,,34.0
2018,percentage (%),a) time series,tertiary education,male and female,,,34.9
