Year,Units,sex,age,Bundesland,GeoCode,Value
2003,percentage (%),a) total,,he,code06,11.6
2005,percentage (%),a) total,,he,code06,11.94
2009,percentage (%),a) total,,he,code06,13.29
2013,percentage (%),a) total,,he,code06,14.23
2017,percentage (%),a) total,,he,code06,14.9
1999,percentage (%),a) total,,mv,code13,13.85
2003,percentage (%),a) total,,mv,code13,16.33
2005,percentage (%),a) total,,mv,code13,17.17
2009,percentage (%),a) total,,mv,code13,17.26
2013,percentage (%),a) total,,mv,code13,17.32
2017,percentage (%),a) total,,mv,code13,18.84
1999,percentage (%),a) total,,ni,code03,9.5
2003,percentage (%),a) total,,ni,code03,10.48
2005,percentage (%),a) total,,ni,code03,11.36
2009,percentage (%),a) total,,ni,code03,12.76
2013,percentage (%),a) total,,ni,code03,14.22
2017,percentage (%),a) total,,ni,code03,15.24
1999,percentage (%),a) total,,nw,code05,10.39
2003,percentage (%),a) total,,nw,code05,11.62
2005,percentage (%),a) total,,nw,code05,12.57
2009,percentage (%),a) total,,nw,code05,13.59
2013,percentage (%),a) total,,nw,code05,14.87
2017,percentage (%),a) total,,nw,code05,15.12
1999,percentage (%),a) total,,rp,code07,11.1
2003,percentage (%),a) total,,rp,code07,12.23
2005,percentage (%),a) total,,rp,code07,13.22
2009,percentage (%),a) total,,rp,code07,14.01
2013,percentage (%),a) total,,rp,code07,15.19
2017,percentage (%),a) total,,rp,code07,16.1
1999,percentage (%),a) total,,sl,code10,9.58
2003,percentage (%),a) total,,sl,code10,10.31
2005,percentage (%),a) total,,sl,code10,13.11
2009,percentage (%),a) total,,sl,code10,14.11
2013,percentage (%),a) total,,sl,code10,14.13
2017,percentage (%),a) total,,sl,code10,14.69
1999,percentage (%),a) total,,sn,code14,11.84
2003,percentage (%),a) total,,sn,code14,13.37
2005,percentage (%),a) total,,sn,code14,13.69
2009,percentage (%),a) total,,sn,code14,13.96
2013,percentage (%),a) total,,sn,code14,14.29
2017,percentage (%),a) total,,sn,code14,15.45
1999,percentage (%),a) total,,st,code15,13.14
2003,percentage (%),a) total,,st,code15,15.01
2005,percentage (%),a) total,,st,code15,15.93
2009,percentage (%),a) total,,st,code15,16.27
2013,percentage (%),a) total,,st,code15,17.15
2017,percentage (%),a) total,,st,code15,17.6
1999,percentage (%),a) total,,sh,code01,9.25
2003,percentage (%),a) total,,sh,code01,10.3
2005,percentage (%),a) total,,sh,code01,11.31
2009,percentage (%),a) total,,sh,code01,12.14
2013,percentage (%),a) total,,sh,code01,13.32
2017,percentage (%),a) total,,sh,code01,14.36
1999,percentage (%),a) total,,th,code16,13.77
2003,percentage (%),a) total,,th,code16,13.16
2005,percentage (%),a) total,,th,code16,14.53
2009,percentage (%),a) total,,th,code16,14.92
2013,percentage (%),a) total,,th,code16,15.39
2017,percentage (%),a) total,,th,code16,17.73
2013,percentage (%),a) total,18 - 20 years,a) germany (total),,3.47
2017,percentage (%),a) total,18 - 20 years,a) germany (total),,4.24
2013,percentage (%),a) total,20 - 25 years,a) germany (total),,5.6
2017,percentage (%),a) total,20 - 25 years,a) germany (total),,6.01
2013,percentage (%),a) total,25 - 30 years,a) germany (total),,8.02
2017,percentage (%),a) total,25 - 30 years,a) germany (total),,9.42
2013,percentage (%),a) total,30 - 35 years,a) germany (total),,10.89
2017,percentage (%),a) total,30 - 35 years,a) germany (total),,11.87
2013,percentage (%),a) total,35 - 40 years,a) germany (total),,12.71
2017,percentage (%),a) total,35 - 40 years,a) germany (total),,13.31
2013,percentage (%),a) total,40 - 45 years,a) germany (total),,14.26
2017,percentage (%),a) total,40 - 45 years,a) germany (total),,15.67
2013,percentage (%),a) total,45 - 50 years,a) germany (total),,15.22
2017,percentage (%),a) total,45 - 50 years,a) germany (total),,16.24
2013,percentage (%),a) total,50 - 55 years,a) germany (total),,17.71
2017,percentage (%),a) total,50 - 55 years,a) germany (total),,17.99
2013,percentage (%),a) total,55 - 60 years,a) germany (total),,19.98
2017,percentage (%),a) total,55 - 60 years,a) germany (total),,19.67
2013,percentage (%),a) total,60 - 56 years,a) germany (total),,22.7
2017,percentage (%),a) total,60 - 56 years,a) germany (total),,21.98
2013,percentage (%),a) total,65 - 70 years,a) germany (total),,21.94
2017,percentage (%),a) total,65 - 70 years,a) germany (total),,23.51
2013,percentage (%),a) total,70 - 75 years,a) germany (total),,20.26
2017,percentage (%),a) total,70 - 75 years,a) germany (total),,21.16
2013,percentage (%),a) total,75 and over,a) germany (total),,17.4
2017,percentage (%),a) total,75 and over,a) germany (total),,17.84
1999,percentage (%),women,,a) germany (total),,10.2
2003,percentage (%),women,,a) germany (total),,11.2
2005,percentage (%),women,,a) germany (total),,11.8
2009,percentage (%),women,,a) germany (total),,12.4
2013,percentage (%),women,,a) germany (total),,12.8
2017,percentage (%),women,,a) germany (total),,13.05
1999,percentage (%),women,,bw,code08,9.25
2003,percentage (%),women,,bw,code08,10.13
2005,percentage (%),women,,bw,code08,11.24
2009,percentage (%),women,,bw,code08,11.29
2013,percentage (%),women,,bw,code08,11.24
2017,percentage (%),women,,bw,code08,12.12
1999,percentage (%),women,,by,code09,10.0
2003,percentage (%),women,,by,code09,11.11
2005,percentage (%),women,,by,code09,11.38
2009,percentage (%),women,,by,code09,11.57
2013,percentage (%),women,,by,code09,11.38
2017,percentage (%),women,,by,code09,11.59
1999,percentage (%),women,,be,code11,9.52
2003,percentage (%),women,,be,code11,10.68
2005,percentage (%),women,,be,code11,11.15
2009,percentage (%),women,,be,code11,10.86
2013,percentage (%),women,,be,code11,11.15
2017,percentage (%),women,,be,code11,11.14
1999,percentage (%),women,,bb,code12,13.23
2003,percentage (%),women,,bb,code12,13.7
2005,percentage (%),women,,bb,code12,14.34
2009,percentage (%),women,,bb,code12,14.31
2013,percentage (%),women,,bb,code12,14.34
2017,percentage (%),women,,bb,code12,14.41
1999,percentage (%),women,,hb,code04,8.64
2003,percentage (%),women,,hb,code04,10.0
2005,percentage (%),women,,hb,code04,13.51
2009,percentage (%),women,,hb,code04,12.35
2013,percentage (%),women,,hb,code04,13.51
2017,percentage (%),women,,hb,code04,15.55
1999,percentage (%),women,,hh,code02,8.4
2003,percentage (%),women,,hh,code02,8.45
2005,percentage (%),women,,hh,code02,9.46
2009,percentage (%),women,,hh,code02,9.38
2013,percentage (%),women,,hh,code02,9.46
2017,percentage (%),women,,hh,code02,10.15
1999,percentage (%),women,,he,code06,10.32
2003,percentage (%),women,,he,code06,10.83
2005,percentage (%),women,,he,code06,12.74
2009,percentage (%),women,,he,code06,12.12
2013,percentage (%),women,,he,code06,12.74
2017,percentage (%),women,,he,code06,12.85
1999,percentage (%),women,,mv,code13,13.91
2003,percentage (%),women,,mv,code13,16.04
2005,percentage (%),women,,mv,code13,16.55
2009,percentage (%),women,,mv,code13,17.3
2013,percentage (%),women,,mv,code13,16.55
2017,percentage (%),women,,mv,code13,16.69
1999,percentage (%),women,,ni,code03,8.66
2003,percentage (%),women,,ni,code03,9.61
2005,percentage (%),women,,ni,code03,13.14
2009,percentage (%),women,,ni,code03,11.72
2013,percentage (%),women,,ni,code03,13.14
2017,percentage (%),women,,ni,code03,13.13
1999,percentage (%),women,,nw,code05,9.79
2003,percentage (%),women,,nw,code05,10.58
2005,percentage (%),women,,nw,code05,13.28
2009,percentage (%),women,,nw,code05,12.41
2013,percentage (%),women,,nw,code05,13.28
2017,percentage (%),women,,nw,code05,13.28
1999,percentage (%),women,,rp,code07,10.48
2003,percentage (%),women,,rp,code07,11.14
2005,percentage (%),women,,rp,code07,13.09
2009,percentage (%),women,,rp,code07,12.62
2013,percentage (%),women,,rp,code07,13.09
2017,percentage (%),women,,rp,code07,13.99
1999,percentage (%),women,,sl,code10,9.64
2003,percentage (%),women,,sl,code10,10.15
2005,percentage (%),women,,sl,code10,11.77
2009,percentage (%),women,,sl,code10,12.61
2013,percentage (%),women,,sl,code10,11.77
2017,percentage (%),women,,sl,code10,10.88
1999,percentage (%),women,,sn,code14,12.19
2003,percentage (%),women,,sn,code14,13.58
2005,percentage (%),women,,sn,code14,14.3
2009,percentage (%),women,,sn,code14,14.51
2013,percentage (%),women,,sn,code14,14.3
2017,percentage (%),women,,sn,code14,15.08
1999,percentage (%),women,,st,code15,12.71
2003,percentage (%),women,,st,code15,15.25
2005,percentage (%),women,,st,code15,16.79
2009,percentage (%),women,,st,code15,16.76
2013,percentage (%),women,,st,code15,16.79
2017,percentage (%),women,,st,code15,16.32
1999,percentage (%),women,,sh,code01,8.37
2003,percentage (%),women,,sh,code01,9.5
2005,percentage (%),women,,sh,code01,11.62
2009,percentage (%),women,,sh,code01,10.25
2013,percentage (%),women,,sh,code01,11.62
2017,percentage (%),women,,sh,code01,11.67
1999,percentage (%),women,,th,code16,13.19
2003,percentage (%),women,,th,code16,13.1
2005,percentage (%),women,,th,code16,14.89
2009,percentage (%),women,,th,code16,14.25
2013,percentage (%),women,,th,code16,14.89
2017,percentage (%),women,,th,code16,16.74
2013,percentage (%),women,18 - 20 years,a) germany (total),,2.81
2017,percentage (%),women,18 - 20 years,a) germany (total),,3.4
2013,percentage (%),women,20 - 25 years,a) germany (total),,4.95
2017,percentage (%),women,20 - 25 years,a) germany (total),,4.89
2013,percentage (%),women,25 - 30 years,a) germany (total),,7.15
2017,percentage (%),women,25 - 30 years,a) germany (total),,8.04
2013,percentage (%),women,30 - 35 years,a) germany (total),,9.54
2017,percentage (%),women,30 - 35 years,a) germany (total),,10.14
2013,percentage (%),women,35 - 40 years,a) germany (total),,10.4
2017,percentage (%),women,35 - 40 years,a) germany (total),,10.83
2013,percentage (%),women,40 - 45 years,a) germany (total),,11.42
2017,percentage (%),women,40 - 45 years,a) germany (total),,12.25
2013,percentage (%),women,45 - 50 years,a) germany (total),,12.21
2017,percentage (%),women,45 - 50 years,a) germany (total),,12.74
2013,percentage (%),women,50 - 55 years,a) germany (total),,15.03
2017,percentage (%),women,50 - 55 years,a) germany (total),,14.77
2013,percentage (%),women,55 - 60 years,a) germany (total),,17.31
2017,percentage (%),women,55 - 60 years,a) germany (total),,16.55
2013,percentage (%),women,60 - 56 years,a) germany (total),,20.75
2017,percentage (%),women,60 - 56 years,a) germany (total),,19.48
2013,percentage (%),women,65 - 70 years,a) germany (total),,20.32
2017,percentage (%),women,65 - 70 years,a) germany (total),,21.72
2013,percentage (%),women,70 - 75 years,a) germany (total),,19.42
2017,percentage (%),women,70 - 75 years,a) germany (total),,19.85
2013,percentage (%),women,75 and over,a) germany (total),,17.94
2017,percentage (%),women,75 and over,a) germany (total),,18.03
1999,percentage (%),men,,a) germany (total),,11.1
2003,percentage (%),men,,a) germany (total),,12.3
2005,percentage (%),men,,a) germany (total),,13.0
2009,percentage (%),men,,a) germany (total),,14.2
2013,percentage (%),men,,a) germany (total),,15.4
2017,percentage (%),men,,a) germany (total),,16.42
1999,percentage (%),men,,bw,code08,10.27
2003,percentage (%),men,,bw,code08,11.69
2005,percentage (%),men,,bw,code08,12.05
2009,percentage (%),men,,bw,code08,13.27
2013,percentage (%),men,,bw,code08,14.52
2017,percentage (%),men,,bw,code08,15.31
1999,percentage (%),men,,by,code09,11.48
2003,percentage (%),men,,by,code09,12.19
2005,percentage (%),men,,by,code09,12.62
2009,percentage (%),men,,by,code09,13.96
2013,percentage (%),men,,by,code09,15.02
2017,percentage (%),men,,by,code09,15.66
1999,percentage (%),men,,be,code11,8.87
2003,percentage (%),men,,be,code11,9.64
2005,percentage (%),men,,be,code11,11.39
2009,percentage (%),men,,be,code11,11.52
2013,percentage (%),men,,be,code11,12.31
2017,percentage (%),men,,be,code11,12.72
1999,percentage (%),men,,bb,code12,12.89
2003,percentage (%),men,,bb,code12,12.56
2005,percentage (%),men,,bb,code12,13.83
2009,percentage (%),men,,bb,code12,15.35
2013,percentage (%),men,,bb,code12,15.5
2017,percentage (%),men,,bb,code12,16.44
1999,percentage (%),men,,hb,code04,9.35
2003,percentage (%),men,,hb,code04,11.64
2005,percentage (%),men,,hb,code04,11.05
2009,percentage (%),men,,hb,code04,11.17
2013,percentage (%),men,,hb,code04,13.58
2017,percentage (%),men,,hb,code04,18.33
1999,percentage (%),men,,hh,code02,8.2
2003,percentage (%),men,,hh,code02,9.84
2005,percentage (%),men,,hh,code02,11.12
2009,percentage (%),men,,hh,code02,10.45
2013,percentage (%),men,,hh,code02,11.51
2017,percentage (%),men,,hh,code02,12.85
1999,percentage (%),men,,he,code06,11.32
2003,percentage (%),men,,he,code06,12.38
2005,percentage (%),men,,he,code06,13.03
2009,percentage (%),men,,he,code06,14.52
2013,percentage (%),men,,he,code06,15.72
2017,percentage (%),men,,he,code06,16.84
1999,percentage (%),men,,mv,code13,13.71
2003,percentage (%),men,,mv,code13,16.47
2005,percentage (%),men,,mv,code13,17.02
2009,percentage (%),men,,mv,code13,17.15
2013,percentage (%),men,,mv,code13,18.04
2017,percentage (%),men,,mv,code13,20.76
1999,percentage (%),men,,ni,code03,10.33
2003,percentage (%),men,,ni,code03,11.33
2005,percentage (%),men,,ni,code03,12.23
2009,percentage (%),men,,ni,code03,13.76
2013,percentage (%),men,,ni,code03,15.23
2017,percentage (%),men,,ni,code03,17.17
1999,percentage (%),men,,nw,code05,11.0
2003,percentage (%),men,,nw,code05,12.67
2005,percentage (%),men,,nw,code05,13.36
2009,percentage (%),men,,nw,code05,14.77
2013,percentage (%),men,,nw,code05,16.44
2017,percentage (%),men,,nw,code05,16.89
1999,percentage (%),men,,rp,code07,11.73
2003,percentage (%),men,,rp,code07,13.28
2005,percentage (%),men,,rp,code07,14.26
2009,percentage (%),men,,rp,code07,15.39
2013,percentage (%),men,,rp,code07,17.16
2017,percentage (%),men,,rp,code07,18.09
1999,percentage (%),men,,sl,code10,9.55
2003,percentage (%),men,,sl,code10,10.37
2005,percentage (%),men,,sl,code10,13.87
2009,percentage (%),men,,sl,code10,15.56
2013,percentage (%),men,,sl,code10,16.37
2017,percentage (%),men,,sl,code10,18.15
1999,percentage (%),men,,sn,code14,11.49
2003,percentage (%),men,,sn,code14,13.14
2005,percentage (%),men,,sn,code14,12.95
2009,percentage (%),men,,sn,code14,13.38
2013,percentage (%),men,,sn,code14,14.28
2017,percentage (%),men,,sn,code14,15.77
1999,percentage (%),men,,st,code15,13.61
2003,percentage (%),men,,st,code15,14.71
2005,percentage (%),men,,st,code15,15.75
2009,percentage (%),men,,st,code15,15.8
2013,percentage (%),men,,st,code15,17.48
2017,percentage (%),men,,st,code15,18.71
1999,percentage (%),men,,sh,code01,10.11
2003,percentage (%),men,,sh,code01,11.02
2005,percentage (%),men,,sh,code01,12.48
2009,percentage (%),men,,sh,code01,13.97
2013,percentage (%),men,,sh,code01,14.95
2017,percentage (%),men,,sh,code01,16.84
1999,percentage (%),men,,th,code16,14.3
2003,percentage (%),men,,th,code16,13.13
2005,percentage (%),men,,th,code16,14.55
2009,percentage (%),men,,th,code16,15.58
2013,percentage (%),men,,th,code16,15.86
2017,percentage (%),men,,th,code16,18.61
2013,percentage (%),men,18 - 20 years,a) germany (total),,4.06
2017,percentage (%),men,18 - 20 years,a) germany (total),,4.95
2013,percentage (%),men,20 - 25 years,a) germany (total),,6.17
2017,percentage (%),men,20 - 25 years,a) germany (total),,6.97
2013,percentage (%),men,25 - 30 years,a) germany (total),,8.81
2017,percentage (%),men,25 - 30 years,a) germany (total),,10.57
2013,percentage (%),men,30 - 35 years,a) germany (total),,12.16
2017,percentage (%),men,30 - 35 years,a) germany (total),,13.39
2013,percentage (%),men,35 - 40 years,a) germany (total),,14.88
2017,percentage (%),men,35 - 40 years,a) germany (total),,15.49
2013,percentage (%),men,40 - 45 years,a) germany (total),,16.77
2017,percentage (%),men,40 - 45 years,a) germany (total),,18.73
2013,percentage (%),men,45 - 50 years,a) germany (total),,17.91
2017,percentage (%),men,45 - 50 years,a) germany (total),,19.37
2013,percentage (%),men,50 - 55 years,a) germany (total),,20.19
2017,percentage (%),men,50 - 55 years,a) germany (total),,20.94
2013,percentage (%),men,55 - 60 years,a) germany (total),,22.59
2017,percentage (%),men,55 - 60 years,a) germany (total),,22.57
2013,percentage (%),men,60 - 56 years,a) germany (total),,24.67
2017,percentage (%),men,60 - 56 years,a) germany (total),,24.45
2013,percentage (%),men,65 - 70 years,a) germany (total),,23.63
2017,percentage (%),men,65 - 70 years,a) germany (total),,25.32
2013,percentage (%),men,70 - 75 years,a) germany (total),,21.19
2017,percentage (%),men,70 - 75 years,a) germany (total),,22.58
2013,percentage (%),men,75 and over,a) germany (total),,16.69
2017,percentage (%),men,75 and over,a) germany (total),,17.59
